qnt,c2_p,c4_p,c5_p,c2_p_normalized,c4_p_normalized,c5_p_normalized,c2_real,c4_real,c5_real
HDy_syn,0.91,1.0,1.0,0.31,0.34,0.34,0.06,0.49,0.45
CC2,0.18,0.41,0.41,0.18,0.41,0.41,0.06,0.49,0.45
PWK,0.19,0.36,0.45,0.19,0.36,0.45,0.06,0.49,0.45
HDx,0.23,0.3,0.45,0.23,0.3,0.45,0.06,0.49,0.45
GAC,0.83,0.0,1.0,0.83,0.0,1.0,0.06,0.49,0.45
GPAC,1.0,0.0,0.11,1.0,0.0,0.11,0.06,0.49,0.45
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
EMQ,0.09,0.42,0.49,0.09,0.42,0.49,0.06,0.49,0.45
KDEyHD,0.84,0.0,0.16,0.84,0.0,0.16,0.06,0.49,0.45
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
KDEyML,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
CC,0.9,0.7,0.57,0.41,0.32,0.26,0.06,0.49,0.45
PCC,0.86,0.57,0.57,0.43,0.28,0.29,0.06,0.49,0.45
ACC,0.0,0.0,0.04,0.0,0.0,1.0,0.06,0.49,0.45
PACC,1.0,0.09,0.32,0.71,0.06,0.23,0.06,0.49,0.45
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
MAX,0.01,0.0,0.12,0.07,0.0,0.93,0.06,0.49,0.45
MS,0.0,0.0,0.03,0.0,0.0,1.0,0.06,0.49,0.45
MS2,0.0,0.0,0.06,0.0,0.0,1.0,0.06,0.49,0.45
X,0.0,0.0,0.17,0.0,0.0,1.0,0.06,0.49,0.45
SMM,1.0,0.09,0.32,0.71,0.06,0.23,0.06,0.49,0.45
DyS,0.98,0.13,0.34,0.67,0.09,0.23,0.06,0.49,0.45
DySyn,0.94,1.0,0.69,0.36,0.38,0.26,0.06,0.49,0.45
HDy,0.99,0.21,0.4,0.62,0.13,0.25,0.06,0.49,0.45
ACC_syn,0.9,0.59,0.45,0.46,0.31,0.23,0.06,0.49,0.45
PACC_syn,0.86,0.41,0.43,0.51,0.24,0.25,0.06,0.49,0.45
X_syn,0.39,0.0,0.09,0.81,0.0,0.19,0.06,0.49,0.45
MAX_syn,0.39,0.0,0.09,0.82,0.0,0.18,0.06,0.49,0.45
T50_syn,0.98,0.96,0.38,0.42,0.41,0.16,0.06,0.49,0.45
MS_syn,0.9,0.51,0.34,0.52,0.29,0.19,0.06,0.49,0.45
MS2_syn,0.9,0.25,0.29,0.63,0.17,0.2,0.06,0.49,0.45
SMM_syn,0.94,0.83,1.0,0.34,0.3,0.36,0.06,0.49,0.45
HDy_syn,0.96,0.96,0.92,0.34,0.34,0.32,0.06,0.49,0.45
CC2,0.1,0.44,0.46,0.1,0.44,0.46,0.06,0.49,0.45
PWK,0.1,0.43,0.47,0.1,0.43,0.47,0.06,0.49,0.45
HDx,0.16,0.25,0.54,0.16,0.25,0.54,0.06,0.49,0.45
GAC,0.55,0.0,1.0,0.55,0.0,1.0,0.06,0.49,0.45
GPAC,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
EMQ,0.03,0.4,0.57,0.03,0.4,0.57,0.06,0.49,0.45
KDEyHD,0.59,0.0,0.41,0.59,0.0,0.41,0.06,0.49,0.45
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
KDEyML,0.93,0.0,0.07,0.93,0.0,0.07,0.06,0.49,0.45
CC,0.87,0.65,0.59,0.41,0.31,0.28,0.06,0.49,0.45
PCC,0.85,0.57,0.58,0.43,0.28,0.29,0.06,0.49,0.45
ACC,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
PACC,1.0,0.09,0.32,0.71,0.06,0.23,0.06,0.49,0.45
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
MAX,0.0,0.0,0.18,0.0,0.0,1.0,0.06,0.49,0.45
MS,0.0,0.0,0.03,0.0,0.0,1.0,0.06,0.49,0.45
MS2,0.0,0.0,0.06,0.0,0.0,1.0,0.06,0.49,0.45
X,0.0,0.0,0.19,0.0,0.0,1.0,0.06,0.49,0.45
SMM,1.0,0.09,0.32,0.71,0.06,0.23,0.06,0.49,0.45
DyS,0.96,0.16,0.36,0.65,0.11,0.25,0.06,0.49,0.45
DySyn,0.92,1.0,1.0,0.32,0.34,0.34,0.06,0.49,0.45
HDy,0.98,0.2,0.4,0.62,0.13,0.26,0.06,0.49,0.45
ACC_syn,0.87,0.53,0.35,0.5,0.3,0.2,0.06,0.49,0.45
PACC_syn,0.85,0.29,0.32,0.58,0.2,0.22,0.06,0.49,0.45
X_syn,0.4,0.0,0.07,0.85,0.0,0.15,0.06,0.49,0.45
MAX_syn,0.4,0.0,0.07,0.85,0.0,0.15,0.06,0.49,0.45
T50_syn,0.94,0.34,0.48,0.53,0.19,0.27,0.06,0.49,0.45
MS_syn,0.87,0.48,0.35,0.51,0.28,0.21,0.06,0.49,0.45
MS2_syn,0.86,0.26,0.39,0.57,0.17,0.26,0.06,0.49,0.45
SMM_syn,0.92,0.71,0.88,0.37,0.28,0.35,0.06,0.49,0.45
HDy_syn,0.94,1.0,0.72,0.35,0.38,0.27,0.06,0.49,0.45
CC2,0.15,0.4,0.45,0.15,0.4,0.45,0.06,0.49,0.45
PWK,0.12,0.41,0.47,0.12,0.41,0.47,0.06,0.49,0.45
HDx,0.3,0.18,0.54,0.3,0.18,0.54,0.06,0.49,0.45
GAC,1.0,0.0,1.0,1.0,0.0,1.0,0.06,0.49,0.45
GPAC,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
EMQ,0.06,0.36,0.58,0.06,0.36,0.58,0.06,0.49,0.45
KDEyHD,0.74,0.0,0.26,0.74,0.0,0.26,0.06,0.49,0.45
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
KDEyML,0.71,0.0,0.29,0.71,0.0,0.29,0.06,0.49,0.45
CC,0.82,0.74,0.61,0.38,0.34,0.28,0.06,0.49,0.45
PCC,0.8,0.6,0.62,0.4,0.29,0.31,0.06,0.49,0.45
ACC,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
PACC,0.94,0.36,0.43,0.54,0.21,0.25,0.06,0.49,0.45
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
MAX,0.05,0.0,0.11,0.32,0.0,0.68,0.06,0.49,0.45
MS,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
MS2,0.0,0.0,0.03,0.0,0.0,1.0,0.06,0.49,0.45
X,0.0,0.0,0.13,0.04,0.0,0.96,0.06,0.49,0.45
SMM,0.94,0.36,0.43,0.54,0.21,0.25,0.06,0.49,0.45
DyS,0.94,0.53,0.48,0.48,0.27,0.25,0.06,0.49,0.45
DySyn,0.91,1.0,0.83,0.33,0.36,0.3,0.06,0.49,0.45
HDy,0.95,0.55,0.59,0.45,0.26,0.28,0.06,0.49,0.45
ACC_syn,0.82,0.58,0.49,0.43,0.31,0.26,0.06,0.49,0.45
PACC_syn,0.8,0.35,0.41,0.51,0.22,0.26,0.06,0.49,0.45
X_syn,0.29,0.0,0.14,0.68,0.0,0.32,0.06,0.49,0.45
MAX_syn,0.29,0.0,0.14,0.67,0.0,0.33,0.06,0.49,0.45
T50_syn,0.96,0.88,0.48,0.41,0.38,0.21,0.06,0.49,0.45
MS_syn,0.82,0.58,0.38,0.46,0.33,0.21,0.06,0.49,0.45
MS2_syn,0.82,0.46,0.3,0.52,0.29,0.19,0.06,0.49,0.45
SMM_syn,0.87,0.75,1.0,0.33,0.29,0.38,0.06,0.49,0.45
HDy_syn,0.93,1.0,0.85,0.33,0.36,0.31,0.06,0.49,0.45
CC2,0.18,0.38,0.44,0.18,0.38,0.44,0.06,0.49,0.45
PWK,0.23,0.36,0.41,0.23,0.36,0.41,0.06,0.49,0.45
HDx,0.32,0.4,0.32,0.32,0.4,0.32,0.06,0.49,0.45
GAC,1.0,0.0,1.0,1.0,0.0,1.0,0.06,0.49,0.45
GPAC,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
EMQ,0.07,0.49,0.44,0.07,0.49,0.44,0.06,0.49,0.45
KDEyHD,0.97,0.0,0.03,0.97,0.0,0.03,0.06,0.49,0.45
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
KDEyML,0.95,0.0,0.05,0.95,0.0,0.05,0.06,0.49,0.45
CC,0.86,0.63,0.68,0.4,0.29,0.31,0.06,0.49,0.45
PCC,0.82,0.56,0.65,0.41,0.28,0.32,0.06,0.49,0.45
ACC,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
PACC,0.97,0.02,0.5,0.65,0.01,0.34,0.06,0.49,0.45
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
MAX,0.0,0.0,0.02,0.0,0.0,1.0,0.06,0.49,0.45
MS,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
MS2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
X,0.0,0.0,0.03,0.0,0.0,1.0,0.06,0.49,0.45
SMM,0.97,0.02,0.5,0.65,0.01,0.34,0.06,0.49,0.45
DyS,0.97,0.1,0.49,0.62,0.07,0.31,0.06,0.49,0.45
DySyn,0.92,1.0,0.89,0.33,0.36,0.32,0.06,0.49,0.45
HDy,0.98,0.2,0.52,0.58,0.12,0.31,0.06,0.49,0.45
ACC_syn,0.86,0.51,0.48,0.46,0.28,0.26,0.06,0.49,0.45
PACC_syn,0.82,0.33,0.55,0.48,0.19,0.32,0.06,0.49,0.45
X_syn,0.26,0.0,0.11,0.7,0.0,0.3,0.06,0.49,0.45
MAX_syn,0.26,0.0,0.11,0.7,0.0,0.3,0.06,0.49,0.45
T50_syn,0.96,0.98,0.74,0.36,0.37,0.28,0.06,0.49,0.45
MS_syn,0.86,0.46,0.58,0.45,0.24,0.31,0.06,0.49,0.45
MS2_syn,0.86,0.2,0.52,0.54,0.13,0.33,0.06,0.49,0.45
SMM_syn,0.89,0.93,0.88,0.33,0.34,0.33,0.06,0.49,0.45
HDy_syn,0.96,1.0,0.94,0.33,0.34,0.32,0.06,0.49,0.45
CC2,0.15,0.49,0.36,0.15,0.49,0.36,0.06,0.49,0.45
PWK,0.15,0.41,0.44,0.15,0.41,0.44,0.06,0.49,0.45
HDx,0.32,0.2,0.43,0.32,0.2,0.43,0.06,0.49,0.45
GAC,0.0,0.0,1.0,0.0,0.0,1.0,0.06,0.49,0.45
GPAC,0.0,0.0,1.0,0.0,0.0,1.0,0.06,0.49,0.45
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
EMQ,0.01,0.67,0.32,0.01,0.67,0.32,0.06,0.49,0.45
KDEyHD,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
KDEyML,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
CC,0.82,0.71,0.65,0.38,0.33,0.3,0.06,0.49,0.45
PCC,0.81,0.58,0.63,0.4,0.29,0.31,0.06,0.49,0.45
ACC,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
PACC,0.95,0.26,0.46,0.57,0.15,0.27,0.06,0.49,0.45
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
MAX,0.02,0.0,0.08,0.22,0.0,0.78,0.06,0.49,0.45
MS,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.45
MS2,0.0,0.0,0.02,0.0,0.0,1.0,0.06,0.49,0.45
X,0.03,0.0,0.1,0.25,0.0,0.75,0.06,0.49,0.45
SMM,0.95,0.26,0.46,0.57,0.16,0.28,0.06,0.49,0.45
DyS,0.96,0.43,0.48,0.51,0.23,0.26,0.06,0.49,0.45
DySyn,0.92,1.0,0.89,0.33,0.36,0.32,0.06,0.49,0.45
HDy,0.97,0.55,0.57,0.47,0.26,0.27,0.06,0.49,0.45
ACC_syn,0.82,0.53,0.53,0.44,0.28,0.28,0.06,0.49,0.45
PACC_syn,0.81,0.37,0.42,0.51,0.23,0.26,0.06,0.49,0.45
X_syn,0.28,0.0,0.11,0.72,0.0,0.28,0.06,0.49,0.45
MAX_syn,0.28,0.0,0.11,0.72,0.0,0.28,0.06,0.49,0.45
T50_syn,0.98,0.82,0.62,0.4,0.34,0.26,0.06,0.49,0.45
MS_syn,0.82,0.59,0.44,0.44,0.32,0.24,0.06,0.49,0.45
MS2_syn,0.81,0.35,0.53,0.48,0.21,0.32,0.06,0.49,0.45
SMM_syn,0.88,0.95,0.91,0.32,0.35,0.33,0.06,0.49,0.45
HDy_syn,0.95,0.99,0.82,0.34,0.36,0.3,0.06,0.49,0.45
CC2,0.19,0.43,0.38,0.19,0.43,0.38,0.06,0.49,0.45
PWK,0.09,0.49,0.42,0.09,0.49,0.42,0.06,0.49,0.45
HDx,0.22,0.36,0.41,0.22,0.36,0.41,0.06,0.49,0.45
GAC,0.0,0.0,1.0,0.0,0.0,1.0,0.06,0.49,0.45
GPAC,1.0,0.0,1.0,1.0,0.0,1.0,0.06,0.49,0.45
FM,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
EMQ,0.03,0.55,0.42,0.03,0.55,0.42,0.06,0.49,0.45
KDEyHD,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
KDEyCS,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
KDEyML,1.0,0.0,0.0,1.0,0.0,0.0,0.06,0.49,0.45
CC,0.41,0.85,0.81,0.2,0.41,0.39,0.63,0.19,0.18
PCC,0.46,0.69,0.81,0.24,0.35,0.41,0.63,0.19,0.18
ACC,0.6,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
PACC,0.34,1.0,0.91,0.15,0.44,0.4,0.63,0.19,0.18
T50,0.46,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MAX,0.53,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MS,0.51,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MS2,0.51,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
X,0.6,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
SMM,0.34,1.0,0.91,0.15,0.44,0.4,0.63,0.19,0.18
DyS,0.36,1.0,0.91,0.16,0.44,0.4,0.63,0.19,0.18
DySyn,0.39,1.0,0.89,0.17,0.44,0.39,0.63,0.19,0.18
HDy,0.39,1.0,0.92,0.17,0.43,0.4,0.63,0.19,0.18
ACC_syn,0.36,0.8,0.81,0.18,0.41,0.41,0.63,0.19,0.18
PACC_syn,0.41,0.65,0.81,0.22,0.35,0.43,0.63,0.19,0.18
X_syn,0.14,0.0,0.42,0.25,0.0,0.75,0.63,0.19,0.18
MAX_syn,0.14,0.0,0.42,0.25,0.0,0.75,0.63,0.19,0.18
T50_syn,0.29,1.0,0.98,0.13,0.44,0.43,0.63,0.19,0.18
MS_syn,0.31,0.84,0.81,0.16,0.43,0.41,0.63,0.19,0.18
MS2_syn,0.32,0.72,0.8,0.17,0.39,0.43,0.63,0.19,0.18
SMM_syn,0.43,1.0,0.89,0.19,0.43,0.38,0.63,0.19,0.18
HDy_syn,0.37,1.0,0.91,0.16,0.44,0.4,0.63,0.19,0.18
CC2,0.59,0.22,0.19,0.59,0.22,0.19,0.63,0.19,0.18
PWK,0.6,0.23,0.17,0.6,0.23,0.17,0.63,0.19,0.18
HDx,0.86,0.12,0.02,0.86,0.12,0.02,0.63,0.19,0.18
GAC,1.0,1.0,0.0,1.0,1.0,0.0,0.63,0.19,0.18
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.63,0.19,0.18
FM,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
EMQ,0.7,0.05,0.25,0.7,0.05,0.25,0.63,0.19,0.18
KDEyHD,0.0,0.67,0.33,0.0,0.67,0.33,0.63,0.19,0.18
KDEyCS,0.0,0.85,0.15,0.0,0.85,0.15,0.63,0.19,0.18
KDEyML,0.0,0.69,0.31,0.0,0.69,0.31,0.63,0.19,0.18
CC,0.42,0.86,0.87,0.2,0.4,0.4,0.63,0.19,0.18
PCC,0.47,0.67,0.84,0.24,0.34,0.42,0.63,0.19,0.18
ACC,0.58,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
PACC,0.36,1.0,0.98,0.15,0.43,0.42,0.63,0.19,0.18
T50,0.46,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MAX,0.48,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MS,0.49,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MS2,0.49,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
X,0.56,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
SMM,0.36,1.0,0.98,0.15,0.43,0.42,0.63,0.19,0.18
DyS,0.38,0.94,0.95,0.17,0.41,0.42,0.63,0.19,0.18
DySyn,0.41,1.0,0.98,0.17,0.42,0.41,0.63,0.19,0.18
HDy,0.39,0.98,0.98,0.17,0.42,0.42,0.63,0.19,0.18
ACC_syn,0.36,0.81,0.85,0.18,0.4,0.42,0.63,0.19,0.18
PACC_syn,0.41,0.57,0.84,0.23,0.31,0.46,0.63,0.19,0.18
X_syn,0.08,0.0,0.39,0.17,0.0,0.83,0.63,0.19,0.18
MAX_syn,0.08,0.0,0.39,0.17,0.0,0.83,0.63,0.19,0.18
T50_syn,0.35,1.0,0.98,0.15,0.43,0.42,0.63,0.19,0.18
MS_syn,0.33,0.8,0.87,0.17,0.4,0.43,0.63,0.19,0.18
MS2_syn,0.34,0.74,0.87,0.17,0.38,0.45,0.63,0.19,0.18
SMM_syn,0.45,1.0,1.0,0.18,0.41,0.41,0.63,0.19,0.18
HDy_syn,0.41,1.0,0.98,0.17,0.42,0.41,0.63,0.19,0.18
CC2,0.61,0.25,0.14,0.61,0.25,0.14,0.63,0.19,0.18
PWK,0.6,0.2,0.2,0.6,0.2,0.2,0.63,0.19,0.18
HDx,0.81,0.13,0.03,0.81,0.13,0.03,0.63,0.19,0.18
GAC,1.0,1.0,0.0,1.0,1.0,0.0,0.63,0.19,0.18
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.63,0.19,0.18
FM,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
EMQ,0.64,0.23,0.12,0.64,0.23,0.12,0.63,0.19,0.18
KDEyHD,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
KDEyCS,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
KDEyML,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
CC,0.42,0.83,0.83,0.2,0.4,0.4,0.63,0.19,0.18
PCC,0.5,0.66,0.82,0.25,0.33,0.41,0.63,0.19,0.18
ACC,0.58,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
PACC,0.41,0.97,0.92,0.18,0.42,0.4,0.63,0.19,0.18
T50,0.4,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MAX,0.48,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MS,0.44,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MS2,0.45,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
X,0.59,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
SMM,0.41,0.97,0.92,0.18,0.42,0.4,0.63,0.19,0.18
DyS,0.42,0.9,0.9,0.19,0.4,0.41,0.63,0.19,0.18
DySyn,0.41,1.0,0.95,0.17,0.42,0.4,0.63,0.19,0.18
HDy,0.47,0.86,0.93,0.21,0.38,0.41,0.63,0.19,0.18
ACC_syn,0.34,0.76,0.81,0.18,0.4,0.42,0.63,0.19,0.18
PACC_syn,0.44,0.56,0.82,0.24,0.31,0.45,0.63,0.19,0.18
X_syn,0.12,0.0,0.35,0.26,0.0,0.74,0.63,0.19,0.18
MAX_syn,0.12,0.0,0.35,0.26,0.0,0.74,0.63,0.19,0.18
T50_syn,0.41,0.94,1.0,0.17,0.4,0.43,0.63,0.19,0.18
MS_syn,0.37,0.74,0.81,0.19,0.39,0.42,0.63,0.19,0.18
MS2_syn,0.36,0.7,0.81,0.19,0.37,0.43,0.63,0.19,0.18
SMM_syn,0.51,0.97,1.0,0.21,0.39,0.4,0.63,0.19,0.18
HDy_syn,0.39,1.0,0.95,0.17,0.43,0.41,0.63,0.19,0.18
CC2,0.59,0.23,0.18,0.59,0.23,0.18,0.63,0.19,0.18
PWK,0.54,0.26,0.2,0.54,0.26,0.2,0.63,0.19,0.18
HDx,0.8,0.18,0.02,0.8,0.18,0.02,0.63,0.19,0.18
GAC,1.0,1.0,0.0,1.0,1.0,0.0,0.63,0.19,0.18
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.63,0.19,0.18
FM,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
EMQ,0.6,0.23,0.17,0.6,0.23,0.17,0.63,0.19,0.18
KDEyHD,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
KDEyCS,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
KDEyML,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
CC,0.45,0.89,0.84,0.21,0.41,0.39,0.63,0.19,0.18
PCC,0.49,0.66,0.81,0.25,0.34,0.41,0.63,0.19,0.18
ACC,0.54,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
PACC,0.38,0.99,0.9,0.17,0.44,0.4,0.63,0.19,0.18
T50,0.42,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MAX,0.48,0.0,0.01,0.99,0.0,0.01,0.63,0.19,0.18
MS,0.48,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MS2,0.48,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
X,0.56,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
SMM,0.38,0.99,0.9,0.17,0.44,0.4,0.63,0.19,0.18
DyS,0.39,0.95,0.86,0.18,0.43,0.39,0.63,0.19,0.18
DySyn,0.4,1.0,0.94,0.17,0.43,0.4,0.63,0.19,0.18
HDy,0.41,0.93,0.94,0.18,0.41,0.41,0.63,0.19,0.18
ACC_syn,0.39,0.85,0.84,0.19,0.41,0.4,0.63,0.19,0.18
PACC_syn,0.43,0.54,0.79,0.24,0.31,0.45,0.63,0.19,0.18
X_syn,0.16,0.0,0.37,0.3,0.0,0.7,0.63,0.19,0.18
MAX_syn,0.16,0.0,0.37,0.3,0.0,0.7,0.63,0.19,0.18
T50_syn,0.27,0.96,0.96,0.12,0.44,0.44,0.63,0.19,0.18
MS_syn,0.35,0.85,0.84,0.17,0.42,0.41,0.63,0.19,0.18
MS2_syn,0.35,0.69,0.81,0.19,0.37,0.44,0.63,0.19,0.18
SMM_syn,0.48,1.0,1.0,0.19,0.4,0.4,0.63,0.19,0.18
HDy_syn,0.38,1.0,0.94,0.16,0.43,0.41,0.63,0.19,0.18
CC2,0.58,0.25,0.17,0.58,0.25,0.17,0.63,0.19,0.18
PWK,0.62,0.2,0.18,0.62,0.2,0.18,0.63,0.19,0.18
HDx,0.84,0.08,0.02,0.84,0.08,0.02,0.63,0.19,0.18
GAC,1.0,1.0,0.0,1.0,1.0,0.0,0.63,0.19,0.18
GPAC,1.0,1.0,0.0,1.0,1.0,0.0,0.63,0.19,0.18
FM,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
EMQ,0.62,0.17,0.2,0.62,0.17,0.2,0.63,0.19,0.18
KDEyHD,0.0,0.7,0.3,0.0,0.7,0.3,0.63,0.19,0.18
KDEyCS,0.0,0.77,0.23,0.0,0.77,0.23,0.63,0.19,0.18
KDEyML,0.0,0.61,0.39,0.0,0.61,0.39,0.63,0.19,0.18
CC,0.5,0.87,0.86,0.22,0.39,0.39,0.63,0.19,0.18
PCC,0.53,0.66,0.81,0.26,0.33,0.41,0.63,0.19,0.18
ACC,0.46,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
PACC,0.46,0.97,0.91,0.2,0.42,0.39,0.63,0.19,0.18
T50,0.38,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MAX,0.41,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MS,0.4,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MS2,0.4,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
X,0.46,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
SMM,0.46,0.97,0.91,0.2,0.41,0.39,0.63,0.19,0.18
DyS,0.45,0.94,0.89,0.2,0.41,0.39,0.63,0.19,0.18
DySyn,0.48,1.0,0.93,0.2,0.41,0.39,0.63,0.19,0.18
HDy,0.49,0.94,0.95,0.21,0.4,0.4,0.63,0.19,0.18
ACC_syn,0.45,0.83,0.84,0.21,0.39,0.4,0.63,0.19,0.18
PACC_syn,0.46,0.55,0.81,0.25,0.3,0.45,0.63,0.19,0.18
X_syn,0.13,0.0,0.36,0.27,0.0,0.73,0.63,0.19,0.18
MAX_syn,0.13,0.0,0.36,0.27,0.0,0.73,0.63,0.19,0.18
T50_syn,0.48,0.98,0.92,0.2,0.41,0.39,0.63,0.19,0.18
MS_syn,0.41,0.81,0.84,0.2,0.39,0.41,0.63,0.19,0.18
MS2_syn,0.4,0.74,0.79,0.21,0.38,0.41,0.63,0.19,0.18
SMM_syn,0.56,0.98,0.89,0.23,0.4,0.37,0.63,0.19,0.18
HDy_syn,0.51,1.0,0.96,0.21,0.4,0.39,0.63,0.19,0.18
CC2,0.52,0.31,0.17,0.52,0.31,0.17,0.63,0.19,0.18
PWK,0.54,0.3,0.16,0.54,0.3,0.16,0.63,0.19,0.18
HDx,0.84,0.1,0.03,0.84,0.1,0.03,0.63,0.19,0.18
GAC,0.74,1.0,0.0,0.74,1.0,0.0,0.63,0.19,0.18
GPAC,0.77,1.0,0.0,0.77,1.0,0.0,0.63,0.19,0.18
FM,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
EMQ,0.54,0.29,0.17,0.54,0.29,0.17,0.63,0.19,0.18
KDEyHD,0.24,0.74,0.01,0.24,0.74,0.01,0.63,0.19,0.18
KDEyCS,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.19,0.18
KDEyML,0.0,0.97,0.03,0.0,0.97,0.03,0.63,0.19,0.18
CC,0.46,0.85,0.84,0.21,0.4,0.39,0.63,0.19,0.18
PCC,0.48,0.68,0.83,0.24,0.34,0.42,0.63,0.19,0.18
ACC,0.52,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
PACC,0.38,1.0,0.96,0.16,0.43,0.41,0.63,0.19,0.18
T50,0.48,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MAX,0.45,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MS,0.46,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
MS2,0.46,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
X,0.5,0.0,0.0,1.0,0.0,0.0,0.63,0.19,0.18
SMM,0.38,1.0,0.96,0.16,0.43,0.41,0.63,0.19,0.18
