qnt,batch_index,t,c0_p,c1_p,c0_p_normalized,c1_p_normalized,c0_real,c1_real
MAX_cdt,2,0.2653061224489795,0.58,0.42,0.58,0.42,0.59,0.41
T50_cdt,2,0.2653061224489795,0.58,0.42,0.58,0.42,0.59,0.41
MS_cdt,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
MS2_cdt,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
SMM_cdt,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
HDy_cdt,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
CC2,2,0.2653061224489795,0.58,0.42,0.58,0.42,0.59,0.41
PWK,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
HDx,2,0.2653061224489795,0.6,0.4,0.6,0.4,0.59,0.41
GAC,2,0.2653061224489795,1.0,0.0,1.0,0.0,0.59,0.41
GPAC,2,0.2653061224489795,1.0,0.0,1.0,0.0,0.59,0.41
FM,2,0.2653061224489795,1.0,0.0,1.0,0.0,0.59,0.41
EMQ,2,0.2653061224489795,0.59,0.41,0.59,0.41,0.59,0.41
KDEyHD,2,0.2653061224489795,1.0,0.0,1.0,0.0,0.59,0.41
KDEyCS,2,0.2653061224489795,1.0,0.0,1.0,0.0,0.59,0.41
KDEyML,2,0.2653061224489795,1.0,0.0,1.0,0.0,0.59,0.41
CC,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
PCC,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
ACC,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
PACC,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
T50,3,0.2857142857142857,0.36,0.64,0.36,0.64,0.35,0.65
MAX,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
MS,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
MS2,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
X,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
SMM,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
DyS,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
DySyn,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
HDy,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
ACC_syn,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
PACC_syn,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
X_syn,3,0.2857142857142857,0.29,0.71,0.29,0.71,0.35,0.65
MAX_syn,3,0.2857142857142857,0.29,0.71,0.29,0.71,0.35,0.65
T50_syn,3,0.2857142857142857,0.0,1.0,0.0,1.0,0.35,0.65
MS_syn,3,0.2857142857142857,0.34,0.66,0.34,0.66,0.35,0.65
MS2_syn,3,0.2857142857142857,0.34,0.66,0.34,0.66,0.35,0.65
SMM_syn,3,0.2857142857142857,0.32,0.68,0.32,0.68,0.35,0.65
HDy_syn,3,0.2857142857142857,0.34,0.66,0.34,0.66,0.35,0.65
DyS_cdt,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
ACC_cdt,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
PACC_cdt,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
X_cdt,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
MAX_cdt,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
T50_cdt,3,0.2857142857142857,0.36,0.64,0.36,0.64,0.35,0.65
MS_cdt,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
MS2_cdt,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
SMM_cdt,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
HDy_cdt,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
CC2,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
PWK,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
HDx,3,0.2857142857142857,0.36,0.64,0.36,0.64,0.35,0.65
GAC,3,0.2857142857142857,0.0,1.0,0.0,1.0,0.35,0.65
GPAC,3,0.2857142857142857,0.0,1.0,0.0,1.0,0.35,0.65
FM,3,0.2857142857142857,0.0,1.0,0.0,1.0,0.35,0.65
EMQ,3,0.2857142857142857,0.35,0.65,0.35,0.65,0.35,0.65
KDEyHD,3,0.2857142857142857,0.0,1.0,0.0,1.0,0.35,0.65
KDEyCS,3,0.2857142857142857,0.0,1.0,0.0,1.0,0.35,0.65
KDEyML,3,0.2857142857142857,0.0,1.0,0.0,1.0,0.35,0.65
CC,4,0.3061224489795918,0.31,0.7,0.31,0.7,0.3,0.7
PCC,4,0.3061224489795918,0.31,0.69,0.31,0.69,0.3,0.7
ACC,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
PACC,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
T50,4,0.3061224489795918,0.29,0.71,0.29,0.71,0.3,0.7
MAX,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
MS,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
MS2,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
X,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
SMM,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
DyS,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
DySyn,4,0.3061224489795918,0.31,0.69,0.31,0.69,0.3,0.7
HDy,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
ACC_syn,4,0.3061224489795918,0.31,0.7,0.31,0.7,0.3,0.7
PACC_syn,4,0.3061224489795918,0.31,0.69,0.31,0.69,0.3,0.7
X_syn,4,0.3061224489795918,0.25,0.75,0.25,0.75,0.3,0.7
MAX_syn,4,0.3061224489795918,0.25,0.75,0.25,0.75,0.3,0.7
T50_syn,4,0.3061224489795918,0.0,1.0,0.0,1.0,0.3,0.7
MS_syn,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
MS2_syn,4,0.3061224489795918,0.29,0.71,0.29,0.71,0.3,0.7
SMM_syn,4,0.3061224489795918,0.26,0.74,0.26,0.74,0.3,0.7
HDy_syn,4,0.3061224489795918,0.31,0.69,0.31,0.69,0.3,0.7
DyS_cdt,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
ACC_cdt,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
PACC_cdt,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
X_cdt,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
MAX_cdt,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
T50_cdt,4,0.3061224489795918,0.29,0.71,0.29,0.71,0.3,0.7
MS_cdt,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
MS2_cdt,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
SMM_cdt,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
HDy_cdt,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
CC2,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
PWK,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
HDx,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
GAC,4,0.3061224489795918,0.0,1.0,0.0,1.0,0.3,0.7
GPAC,4,0.3061224489795918,0.0,1.0,0.0,1.0,0.3,0.7
FM,4,0.3061224489795918,0.0,1.0,0.0,1.0,0.3,0.7
EMQ,4,0.3061224489795918,0.3,0.7,0.3,0.7,0.3,0.7
KDEyHD,4,0.3061224489795918,0.0,1.0,0.0,1.0,0.3,0.7
KDEyCS,4,0.3061224489795918,0.0,1.0,0.0,1.0,0.3,0.7
KDEyML,4,0.3061224489795918,0.0,1.0,0.0,1.0,0.3,0.7
CC,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
PCC,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
ACC,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
PACC,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
T50,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
MAX,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
MS,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
MS2,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
X,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
SMM,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
DyS,5,0.3265306122448979,0.55,0.45,0.55,0.45,0.55,0.45
DySyn,5,0.3265306122448979,0.55,0.45,0.55,0.45,0.55,0.45
HDy,5,0.3265306122448979,0.55,0.45,0.55,0.45,0.55,0.45
ACC_syn,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
PACC_syn,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
X_syn,5,0.3265306122448979,0.45,0.55,0.45,0.55,0.55,0.45
MAX_syn,5,0.3265306122448979,0.45,0.55,0.45,0.55,0.55,0.45
T50_syn,5,0.3265306122448979,0.17,0.83,0.17,0.83,0.55,0.45
MS_syn,5,0.3265306122448979,0.53,0.47,0.53,0.47,0.55,0.45
MS2_syn,5,0.3265306122448979,0.53,0.47,0.53,0.47,0.55,0.45
SMM_syn,5,0.3265306122448979,0.55,0.45,0.55,0.45,0.55,0.45
HDy_syn,5,0.3265306122448979,0.57,0.43,0.57,0.43,0.55,0.45
DyS_cdt,5,0.3265306122448979,0.55,0.45,0.55,0.45,0.55,0.45
ACC_cdt,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
PACC_cdt,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
X_cdt,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
MAX_cdt,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
T50_cdt,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
MS_cdt,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
MS2_cdt,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
SMM_cdt,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
HDy_cdt,5,0.3265306122448979,0.55,0.45,0.55,0.45,0.55,0.45
CC2,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
PWK,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
HDx,5,0.3265306122448979,0.57,0.43,0.57,0.43,0.55,0.45
GAC,5,0.3265306122448979,1.0,0.0,1.0,0.0,0.55,0.45
GPAC,5,0.3265306122448979,1.0,0.0,1.0,0.0,0.55,0.45
FM,5,0.3265306122448979,1.0,0.0,1.0,0.0,0.55,0.45
EMQ,5,0.3265306122448979,0.54,0.46,0.54,0.46,0.55,0.45
KDEyHD,5,0.3265306122448979,1.0,0.0,1.0,0.0,0.55,0.45
KDEyCS,5,0.3265306122448979,1.0,0.0,1.0,0.0,0.55,0.45
KDEyML,5,0.3265306122448979,1.0,0.0,1.0,0.0,0.55,0.45
CC,6,0.3469387755102041,0.41,0.59,0.41,0.59,0.41,0.59
PCC,6,0.3469387755102041,0.41,0.59,0.41,0.59,0.41,0.59
ACC,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
PACC,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
T50,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
MAX,6,0.3469387755102041,0.41,0.59,0.41,0.59,0.41,0.59
MS,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
MS2,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
X,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
SMM,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
DyS,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
DySyn,6,0.3469387755102041,0.41,0.59,0.41,0.59,0.41,0.59
HDy,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
ACC_syn,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
PACC_syn,6,0.3469387755102041,0.41,0.59,0.41,0.59,0.41,0.59
X_syn,6,0.3469387755102041,0.33,0.67,0.33,0.67,0.41,0.59
MAX_syn,6,0.3469387755102041,0.33,0.67,0.33,0.67,0.41,0.59
T50_syn,6,0.3469387755102041,0.0,1.0,0.0,1.0,0.41,0.59
MS_syn,6,0.3469387755102041,0.39,0.61,0.39,0.61,0.41,0.59
MS2_syn,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
SMM_syn,6,0.3469387755102041,0.38,0.62,0.38,0.62,0.41,0.59
HDy_syn,6,0.3469387755102041,0.44,0.56,0.44,0.56,0.41,0.59
DyS_cdt,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
ACC_cdt,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
PACC_cdt,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
X_cdt,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
MAX_cdt,6,0.3469387755102041,0.41,0.59,0.41,0.59,0.41,0.59
T50_cdt,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
MS_cdt,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
MS2_cdt,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
SMM_cdt,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
HDy_cdt,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
CC2,6,0.3469387755102041,0.41,0.59,0.41,0.59,0.41,0.59
PWK,6,0.3469387755102041,0.41,0.59,0.41,0.59,0.41,0.59
HDx,6,0.3469387755102041,0.41,0.59,0.41,0.59,0.41,0.59
GAC,6,0.3469387755102041,0.0,1.0,0.0,1.0,0.41,0.59
GPAC,6,0.3469387755102041,0.0,1.0,0.0,1.0,0.41,0.59
FM,6,0.3469387755102041,0.0,1.0,0.0,1.0,0.41,0.59
EMQ,6,0.3469387755102041,0.4,0.6,0.4,0.6,0.41,0.59
KDEyHD,6,0.3469387755102041,0.0,1.0,0.0,1.0,0.41,0.59
KDEyCS,6,0.3469387755102041,0.0,1.0,0.0,1.0,0.41,0.59
KDEyML,6,0.3469387755102041,0.0,1.0,0.0,1.0,0.41,0.59
CC,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
PCC,7,0.3673469387755101,0.45,0.55,0.45,0.55,0.44,0.56
ACC,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
PACC,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
T50,7,0.3673469387755101,0.45,0.55,0.45,0.55,0.44,0.56
MAX,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
MS,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
MS2,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
X,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
SMM,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
DyS,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
DySyn,7,0.3673469387755101,0.42,0.58,0.42,0.58,0.44,0.56
HDy,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
ACC_syn,7,0.3673469387755101,0.44,0.56,0.44,0.56,0.44,0.56
