qnt,batch_index,cDefacement_p,cbenign_p,cmalware_p,cphishing_p,cspam_p,cDefacement_p_normalized,cbenign_p_normalized,cmalware_p_normalized,cphishing_p_normalized,cspam_p_normalized,cDefacement_real,cbenign_real,cmalware_real,cphishing_real,cspam_real
SMM_syn,87,0.92,0.99,1.0,0.93,0.49,0.21,0.23,0.23,0.21,0.11,0.18,0.13,0.04,0.09,0.56
HDy_syn,87,0.87,0.92,0.98,0.94,0.44,0.21,0.22,0.24,0.23,0.11,0.18,0.13,0.04,0.09,0.56
DyS_cdt,87,0.82,0.93,0.98,0.91,0.45,0.2,0.23,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
ACC_cdt,87,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
PACC_cdt,87,0.82,0.93,0.97,0.9,0.45,0.2,0.23,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
X_cdt,87,0.01,0.0,0.0,0.0,0.51,0.02,0.0,0.0,0.0,0.98,0.18,0.13,0.04,0.09,0.56
MAX_cdt,87,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
T50_cdt,87,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
MS_cdt,87,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
MS2_cdt,87,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
SMM_cdt,87,0.82,0.93,0.97,0.9,0.45,0.2,0.23,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
HDy_cdt,87,0.88,0.97,0.99,0.96,0.48,0.21,0.23,0.23,0.22,0.11,0.18,0.13,0.04,0.09,0.56
CC2,87,0.17,0.1,0.04,0.14,0.55,0.17,0.1,0.04,0.14,0.55,0.18,0.13,0.04,0.09,0.56
PWK,87,0.2,0.11,0.06,0.11,0.52,0.2,0.11,0.06,0.11,0.52,0.18,0.13,0.04,0.09,0.56
HDx,87,0.2,0.1,0.0,0.11,0.56,0.2,0.1,0.0,0.11,0.56,0.18,0.13,0.04,0.09,0.56
GAC,87,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.18,0.13,0.04,0.09,0.56
GPAC,87,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.18,0.13,0.04,0.09,0.56
FM,87,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18,0.13,0.04,0.09,0.56
EMQ,87,0.17,0.11,0.04,0.13,0.56,0.17,0.11,0.04,0.13,0.56,0.18,0.13,0.04,0.09,0.56
KDEyHD,87,0.15,0.0,0.0,0.85,0.0,0.15,0.0,0.0,0.85,0.0,0.18,0.13,0.04,0.09,0.56
KDEyCS,87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18,0.13,0.04,0.09,0.56
KDEyML,87,0.0,0.0,0.0,0.51,0.49,0.0,0.0,0.0,0.51,0.49,0.18,0.13,0.04,0.09,0.56
CC,88,0.85,0.89,0.95,0.86,0.48,0.21,0.22,0.24,0.21,0.12,0.18,0.13,0.04,0.09,0.56
PCC,88,0.84,0.88,0.92,0.86,0.49,0.21,0.22,0.23,0.22,0.12,0.18,0.13,0.04,0.09,0.56
ACC,88,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
PACC,88,0.82,0.89,0.99,0.91,0.44,0.2,0.22,0.24,0.23,0.11,0.18,0.13,0.04,0.09,0.56
T50,88,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
MAX,88,0.0,0.01,0.0,0.0,0.51,0.0,0.01,0.0,0.0,0.99,0.18,0.13,0.04,0.09,0.56
MS,88,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
MS2,88,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
X,88,0.0,0.01,0.0,0.0,0.51,0.0,0.01,0.0,0.0,0.99,0.18,0.13,0.04,0.09,0.56
SMM,88,0.82,0.89,0.99,0.91,0.44,0.2,0.22,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
DyS,88,0.83,0.89,0.97,0.9,0.46,0.2,0.22,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
DySyn,88,0.86,0.9,0.96,0.89,0.46,0.21,0.22,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
HDy,88,0.89,0.95,0.99,0.96,0.47,0.21,0.22,0.23,0.22,0.11,0.18,0.13,0.04,0.09,0.56
ACC_syn,88,0.85,0.89,0.95,0.86,0.48,0.21,0.22,0.24,0.21,0.12,0.18,0.13,0.04,0.09,0.56
PACC_syn,88,0.84,0.88,0.92,0.86,0.49,0.21,0.22,0.23,0.22,0.12,0.18,0.13,0.04,0.09,0.56
X_syn,88,0.41,0.7,0.47,0.44,0.31,0.18,0.3,0.2,0.19,0.13,0.18,0.13,0.04,0.09,0.56
MAX_syn,88,0.41,0.7,0.47,0.44,0.31,0.18,0.3,0.2,0.19,0.13,0.18,0.13,0.04,0.09,0.56
T50_syn,88,0.94,0.92,0.98,0.94,0.16,0.24,0.23,0.25,0.24,0.04,0.18,0.13,0.04,0.09,0.56
MS_syn,88,0.85,0.89,0.95,0.86,0.46,0.21,0.22,0.24,0.21,0.11,0.18,0.13,0.04,0.09,0.56
MS2_syn,88,0.85,0.89,0.95,0.86,0.46,0.21,0.22,0.24,0.21,0.11,0.18,0.13,0.04,0.09,0.56
SMM_syn,88,0.92,0.96,1.0,0.94,0.49,0.21,0.22,0.23,0.22,0.11,0.18,0.13,0.04,0.09,0.56
HDy_syn,88,0.9,0.89,0.98,0.91,0.45,0.22,0.22,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
DyS_cdt,88,0.83,0.89,0.97,0.9,0.46,0.2,0.22,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
ACC_cdt,88,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
PACC_cdt,88,0.82,0.89,0.99,0.91,0.44,0.2,0.22,0.24,0.23,0.11,0.18,0.13,0.04,0.09,0.56
X_cdt,88,0.0,0.01,0.0,0.0,0.51,0.0,0.01,0.0,0.0,0.99,0.18,0.13,0.04,0.09,0.56
MAX_cdt,88,0.0,0.01,0.0,0.0,0.51,0.0,0.01,0.0,0.0,0.99,0.18,0.13,0.04,0.09,0.56
T50_cdt,88,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
MS_cdt,88,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
MS2_cdt,88,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
SMM_cdt,88,0.82,0.89,0.99,0.91,0.44,0.2,0.22,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
HDy_cdt,88,0.89,0.95,0.99,0.96,0.47,0.21,0.22,0.23,0.22,0.11,0.18,0.13,0.04,0.09,0.56
CC2,88,0.15,0.12,0.05,0.14,0.54,0.15,0.12,0.05,0.14,0.54,0.18,0.13,0.04,0.09,0.56
PWK,88,0.17,0.13,0.04,0.11,0.55,0.17,0.13,0.04,0.11,0.55,0.18,0.13,0.04,0.09,0.56
HDx,88,0.2,0.12,0.0,0.13,0.54,0.2,0.12,0.0,0.13,0.54,0.18,0.13,0.04,0.09,0.56
GAC,88,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.18,0.13,0.04,0.09,0.56
GPAC,88,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.18,0.13,0.04,0.09,0.56
FM,88,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18,0.13,0.04,0.09,0.56
EMQ,88,0.18,0.13,0.03,0.12,0.54,0.18,0.13,0.03,0.12,0.54,0.18,0.13,0.04,0.09,0.56
KDEyHD,88,0.51,0.19,0.07,0.1,0.13,0.51,0.19,0.07,0.1,0.13,0.18,0.13,0.04,0.09,0.56
KDEyCS,88,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18,0.13,0.04,0.09,0.56
KDEyML,88,0.0,0.16,0.0,0.25,0.6,0.0,0.16,0.0,0.25,0.6,0.18,0.13,0.04,0.09,0.56
CC,89,0.89,0.89,0.96,0.89,0.46,0.22,0.22,0.23,0.22,0.11,0.18,0.13,0.04,0.09,0.56
PCC,89,0.85,0.88,0.92,0.86,0.48,0.21,0.22,0.23,0.22,0.12,0.18,0.13,0.04,0.09,0.56
ACC,89,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
PACC,89,0.84,0.89,0.99,0.92,0.43,0.21,0.22,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
T50,89,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
MAX,89,0.0,0.02,0.0,0.0,0.5,0.0,0.03,0.0,0.0,0.97,0.18,0.13,0.04,0.09,0.56
MS,89,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
MS2,89,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
X,89,0.0,0.02,0.0,0.0,0.5,0.0,0.03,0.0,0.0,0.97,0.18,0.13,0.04,0.09,0.56
SMM,89,0.84,0.89,0.99,0.92,0.43,0.21,0.22,0.24,0.23,0.11,0.18,0.13,0.04,0.09,0.56
DyS,89,0.85,0.89,0.98,0.92,0.43,0.21,0.22,0.24,0.23,0.11,0.18,0.13,0.04,0.09,0.56
DySyn,89,0.89,0.88,0.95,0.92,0.45,0.22,0.22,0.23,0.22,0.11,0.18,0.13,0.04,0.09,0.56
HDy,89,0.9,0.92,0.99,0.97,0.45,0.21,0.22,0.23,0.23,0.11,0.18,0.13,0.04,0.09,0.56
ACC_syn,89,0.89,0.89,0.96,0.89,0.46,0.22,0.22,0.23,0.22,0.11,0.18,0.13,0.04,0.09,0.56
PACC_syn,89,0.85,0.88,0.92,0.86,0.48,0.21,0.22,0.23,0.22,0.12,0.18,0.13,0.04,0.09,0.56
X_syn,89,0.47,0.68,0.5,0.37,0.28,0.2,0.3,0.22,0.16,0.12,0.18,0.13,0.04,0.09,0.56
MAX_syn,89,0.47,0.68,0.5,0.37,0.28,0.2,0.3,0.22,0.16,0.12,0.18,0.13,0.04,0.09,0.56
T50_syn,89,0.89,0.9,0.96,0.94,0.21,0.23,0.23,0.25,0.24,0.05,0.18,0.13,0.04,0.09,0.56
MS_syn,89,0.89,0.89,0.96,0.88,0.44,0.22,0.22,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
MS2_syn,89,0.88,0.89,0.96,0.88,0.44,0.22,0.22,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
SMM_syn,89,0.93,0.97,1.0,0.95,0.47,0.22,0.22,0.23,0.22,0.11,0.18,0.13,0.04,0.09,0.56
HDy_syn,89,0.89,0.82,0.96,0.94,0.42,0.22,0.2,0.24,0.23,0.1,0.18,0.13,0.04,0.09,0.56
DyS_cdt,89,0.85,0.89,0.98,0.92,0.43,0.21,0.22,0.24,0.23,0.11,0.18,0.13,0.04,0.09,0.56
ACC_cdt,89,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
PACC_cdt,89,0.84,0.89,0.99,0.92,0.43,0.21,0.22,0.24,0.22,0.11,0.18,0.13,0.04,0.09,0.56
X_cdt,89,0.0,0.02,0.0,0.0,0.5,0.0,0.03,0.0,0.0,0.97,0.18,0.13,0.04,0.09,0.56
MAX_cdt,89,0.0,0.02,0.0,0.0,0.5,0.0,0.03,0.0,0.0,0.97,0.18,0.13,0.04,0.09,0.56
T50_cdt,89,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
MS_cdt,89,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
MS2_cdt,89,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
SMM_cdt,89,0.84,0.89,0.99,0.92,0.43,0.21,0.22,0.24,0.23,0.11,0.18,0.13,0.04,0.09,0.56
HDy_cdt,89,0.9,0.92,0.99,0.97,0.45,0.21,0.22,0.23,0.23,0.11,0.18,0.13,0.04,0.09,0.56
CC2,89,0.13,0.14,0.06,0.11,0.56,0.13,0.14,0.06,0.11,0.56,0.18,0.13,0.04,0.09,0.56
PWK,89,0.18,0.13,0.03,0.1,0.56,0.18,0.13,0.03,0.1,0.56,0.18,0.13,0.04,0.09,0.56
HDx,89,0.17,0.09,0.0,0.04,0.62,0.17,0.09,0.0,0.04,0.62,0.18,0.13,0.04,0.09,0.56
GAC,89,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.18,0.13,0.04,0.09,0.56
GPAC,89,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.18,0.13,0.04,0.09,0.56
FM,89,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18,0.13,0.04,0.09,0.56
EMQ,89,0.16,0.13,0.03,0.11,0.57,0.16,0.13,0.03,0.11,0.57,0.18,0.13,0.04,0.09,0.56
KDEyHD,89,0.32,0.27,0.0,0.22,0.19,0.32,0.27,0.0,0.22,0.19,0.18,0.13,0.04,0.09,0.56
KDEyCS,89,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18,0.13,0.04,0.09,0.56
KDEyML,89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.18,0.13,0.04,0.09,0.56
CC,90,0.92,0.93,0.77,0.8,0.65,0.23,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
PCC,90,0.88,0.91,0.75,0.81,0.66,0.22,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
ACC,90,0.0,0.0,0.1,0.0,0.31,0.0,0.0,0.25,0.0,0.75,0.12,0.09,0.24,0.19,0.36
PACC,90,0.88,0.93,0.75,0.82,0.65,0.22,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
T50,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
MAX,90,0.0,0.0,0.12,0.02,0.33,0.0,0.0,0.25,0.04,0.7,0.12,0.09,0.24,0.19,0.36
MS,90,0.0,0.0,0.08,0.0,0.3,0.0,0.0,0.21,0.0,0.79,0.12,0.09,0.24,0.19,0.36
MS2,90,0.0,0.0,0.08,0.0,0.3,0.0,0.0,0.21,0.0,0.79,0.12,0.09,0.24,0.19,0.36
X,90,0.0,0.0,0.09,0.02,0.33,0.0,0.0,0.21,0.05,0.74,0.12,0.09,0.24,0.19,0.36
SMM,90,0.88,0.93,0.75,0.82,0.65,0.22,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
DyS,90,0.9,0.93,0.77,0.82,0.66,0.22,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
DySyn,90,0.92,0.93,0.79,0.85,0.62,0.22,0.23,0.19,0.21,0.15,0.12,0.09,0.24,0.19,0.36
HDy,90,0.94,0.96,0.83,0.9,0.7,0.22,0.22,0.19,0.21,0.16,0.12,0.09,0.24,0.19,0.36
ACC_syn,90,0.92,0.93,0.77,0.8,0.65,0.23,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
PACC_syn,90,0.88,0.91,0.75,0.81,0.66,0.22,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
X_syn,90,0.45,0.62,0.38,0.44,0.43,0.19,0.27,0.16,0.19,0.19,0.12,0.09,0.24,0.19,0.36
MAX_syn,90,0.45,0.62,0.38,0.44,0.43,0.19,0.27,0.16,0.19,0.19,0.12,0.09,0.24,0.19,0.36
T50_syn,90,0.9,0.94,0.83,0.94,0.47,0.22,0.23,0.2,0.23,0.11,0.12,0.09,0.24,0.19,0.36
MS_syn,90,0.9,0.93,0.77,0.8,0.65,0.22,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
MS2_syn,90,0.9,0.93,0.77,0.8,0.65,0.22,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
SMM_syn,90,0.96,1.0,0.81,0.87,0.69,0.22,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
HDy_syn,90,0.94,0.94,0.81,0.85,0.66,0.22,0.22,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
DyS_cdt,90,0.9,0.93,0.77,0.82,0.66,0.22,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
ACC_cdt,90,0.0,0.0,0.1,0.0,0.31,0.0,0.0,0.25,0.0,0.75,0.12,0.09,0.24,0.19,0.36
PACC_cdt,90,0.88,0.93,0.75,0.82,0.65,0.22,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
X_cdt,90,0.0,0.0,0.09,0.02,0.33,0.0,0.0,0.21,0.05,0.74,0.12,0.09,0.24,0.19,0.36
MAX_cdt,90,0.0,0.0,0.12,0.02,0.33,0.0,0.0,0.25,0.04,0.7,0.12,0.09,0.24,0.19,0.36
T50_cdt,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
MS_cdt,90,0.0,0.0,0.08,0.0,0.3,0.0,0.0,0.21,0.0,0.79,0.12,0.09,0.24,0.19,0.36
MS2_cdt,90,0.0,0.0,0.08,0.0,0.3,0.0,0.0,0.21,0.0,0.79,0.12,0.09,0.24,0.19,0.36
SMM_cdt,90,0.88,0.93,0.75,0.82,0.65,0.22,0.23,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
HDy_cdt,90,0.94,0.96,0.83,0.9,0.7,0.22,0.22,0.19,0.21,0.16,0.12,0.09,0.24,0.19,0.36
CC2,90,0.11,0.09,0.22,0.23,0.35,0.11,0.09,0.22,0.23,0.35,0.12,0.09,0.24,0.19,0.36
PWK,90,0.12,0.1,0.25,0.17,0.36,0.12,0.1,0.25,0.17,0.36,0.12,0.09,0.24,0.19,0.36
HDx,90,0.15,0.16,0.25,0.4,0.23,0.15,0.16,0.25,0.4,0.23,0.12,0.09,0.24,0.19,0.36
GAC,90,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
GPAC,90,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
FM,90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
EMQ,90,0.12,0.08,0.26,0.2,0.35,0.12,0.08,0.26,0.2,0.35,0.12,0.09,0.24,0.19,0.36
KDEyHD,90,0.0,0.36,0.64,0.0,0.0,0.0,0.36,0.64,0.0,0.0,0.12,0.09,0.24,0.19,0.36
KDEyCS,90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
KDEyML,90,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
CC,91,0.9,0.91,0.82,0.79,0.62,0.22,0.23,0.2,0.2,0.15,0.12,0.09,0.24,0.19,0.36
PCC,91,0.88,0.9,0.79,0.79,0.64,0.22,0.23,0.2,0.2,0.16,0.12,0.09,0.24,0.19,0.36
ACC,91,0.0,0.0,0.04,0.0,0.34,0.0,0.0,0.11,0.0,0.89,0.12,0.09,0.24,0.19,0.36
PACC,91,0.88,0.92,0.8,0.79,0.62,0.22,0.23,0.2,0.2,0.16,0.12,0.09,0.24,0.19,0.36
T50,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
MAX,91,0.0,0.0,0.08,0.03,0.34,0.0,0.0,0.18,0.07,0.75,0.12,0.09,0.24,0.19,0.36
MS,91,0.0,0.0,0.03,0.0,0.31,0.0,0.0,0.08,0.0,0.92,0.12,0.09,0.24,0.19,0.36
MS2,91,0.0,0.0,0.04,0.0,0.31,0.0,0.0,0.1,0.0,0.9,0.12,0.09,0.24,0.19,0.36
X,91,0.0,0.0,0.09,0.05,0.34,0.0,0.0,0.19,0.1,0.71,0.12,0.09,0.24,0.19,0.36
SMM,91,0.88,0.92,0.8,0.79,0.62,0.22,0.23,0.2,0.2,0.15,0.12,0.09,0.24,0.19,0.36
DyS,91,0.9,0.92,0.81,0.79,0.62,0.22,0.23,0.2,0.2,0.15,0.12,0.09,0.24,0.19,0.36
DySyn,91,0.92,0.9,0.83,0.83,0.59,0.23,0.22,0.2,0.2,0.14,0.12,0.09,0.24,0.19,0.36
HDy,91,0.93,0.96,0.84,0.84,0.66,0.22,0.23,0.2,0.2,0.16,0.12,0.09,0.24,0.19,0.36
ACC_syn,91,0.9,0.91,0.82,0.79,0.62,0.22,0.23,0.2,0.2,0.15,0.12,0.09,0.24,0.19,0.36
PACC_syn,91,0.88,0.9,0.79,0.79,0.64,0.22,0.23,0.2,0.2,0.16,0.12,0.09,0.24,0.19,0.36
X_syn,91,0.41,0.77,0.41,0.32,0.4,0.18,0.33,0.18,0.14,0.17,0.12,0.09,0.24,0.19,0.36
MAX_syn,91,0.41,0.77,0.41,0.32,0.4,0.18,0.33,0.18,0.14,0.17,0.12,0.09,0.24,0.19,0.36
T50_syn,91,0.94,0.92,0.85,0.94,0.52,0.23,0.22,0.2,0.22,0.13,0.12,0.09,0.24,0.19,0.36
MS_syn,91,0.9,0.9,0.81,0.79,0.62,0.22,0.22,0.2,0.2,0.15,0.12,0.09,0.24,0.19,0.36
MS2_syn,91,0.9,0.9,0.81,0.79,0.62,0.22,0.22,0.2,0.2,0.15,0.12,0.09,0.24,0.19,0.36
SMM_syn,91,0.96,1.0,0.86,0.85,0.67,0.22,0.23,0.2,0.2,0.15,0.12,0.09,0.24,0.19,0.36
HDy_syn,91,0.95,0.88,0.83,0.83,0.63,0.23,0.21,0.2,0.2,0.15,0.12,0.09,0.24,0.19,0.36
DyS_cdt,91,0.9,0.92,0.81,0.79,0.62,0.22,0.23,0.2,0.2,0.15,0.12,0.09,0.24,0.19,0.36
ACC_cdt,91,0.0,0.0,0.04,0.0,0.34,0.0,0.0,0.11,0.0,0.89,0.12,0.09,0.24,0.19,0.36
PACC_cdt,91,0.88,0.92,0.8,0.79,0.62,0.22,0.23,0.2,0.2,0.16,0.12,0.09,0.24,0.19,0.36
X_cdt,91,0.0,0.0,0.09,0.05,0.34,0.0,0.0,0.19,0.1,0.71,0.12,0.09,0.24,0.19,0.36
MAX_cdt,91,0.0,0.0,0.08,0.03,0.34,0.0,0.0,0.18,0.07,0.75,0.12,0.09,0.24,0.19,0.36
T50_cdt,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
MS_cdt,91,0.0,0.0,0.03,0.0,0.31,0.0,0.0,0.08,0.0,0.92,0.12,0.09,0.24,0.19,0.36
MS2_cdt,91,0.0,0.0,0.04,0.0,0.31,0.0,0.0,0.1,0.0,0.9,0.12,0.09,0.24,0.19,0.36
SMM_cdt,91,0.88,0.92,0.8,0.79,0.62,0.22,0.23,0.2,0.2,0.15,0.12,0.09,0.24,0.19,0.36
HDy_cdt,91,0.93,0.96,0.84,0.84,0.66,0.22,0.23,0.2,0.2,0.16,0.12,0.09,0.24,0.19,0.36
CC2,91,0.1,0.11,0.23,0.21,0.35,0.1,0.11,0.23,0.21,0.35,0.12,0.09,0.24,0.19,0.36
PWK,91,0.12,0.1,0.23,0.18,0.37,0.12,0.1,0.23,0.18,0.37,0.12,0.09,0.24,0.19,0.36
HDx,91,0.17,0.11,0.17,0.38,0.3,0.17,0.11,0.17,0.38,0.3,0.12,0.09,0.24,0.19,0.36
GAC,91,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
GPAC,91,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
FM,91,0.31,0.0,0.69,0.0,0.0,0.31,0.0,0.69,0.0,0.0,0.12,0.09,0.24,0.19,0.36
EMQ,91,0.12,0.08,0.22,0.22,0.36,0.12,0.08,0.22,0.22,0.36,0.12,0.09,0.24,0.19,0.36
KDEyHD,91,0.0,0.0,0.13,0.39,0.49,0.0,0.0,0.13,0.39,0.49,0.12,0.09,0.24,0.19,0.36
KDEyCS,91,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.12,0.09,0.24,0.19,0.36
KDEyML,91,0.0,0.0,0.0,0.69,0.31,0.0,0.0,0.0,0.69,0.31,0.12,0.09,0.24,0.19,0.36
CC,92,0.93,0.89,0.77,0.82,0.65,0.23,0.22,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
PCC,92,0.89,0.87,0.77,0.8,0.65,0.22,0.22,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
ACC,92,0.0,0.0,0.1,0.0,0.31,0.0,0.0,0.25,0.0,0.75,0.12,0.09,0.24,0.19,0.36
PACC,92,0.9,0.87,0.77,0.81,0.64,0.23,0.22,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
T50,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.24,0.19,0.36
MAX,92,0.0,0.0,0.08,0.05,0.33,0.0,0.0,0.18,0.1,0.72,0.12,0.09,0.24,0.19,0.36
MS,92,0.0,0.0,0.04,0.0,0.3,0.0,0.0,0.11,0.0,0.89,0.12,0.09,0.24,0.19,0.36
MS2,92,0.0,0.0,0.04,0.0,0.3,0.0,0.0,0.13,0.0,0.87,0.12,0.09,0.24,0.19,0.36
X,92,0.0,0.0,0.07,0.02,0.33,0.0,0.0,0.16,0.05,0.79,0.12,0.09,0.24,0.19,0.36
SMM,92,0.9,0.87,0.77,0.81,0.64,0.23,0.22,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
DyS,92,0.92,0.89,0.77,0.81,0.64,0.23,0.22,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
DySyn,92,0.95,0.92,0.83,0.86,0.59,0.23,0.22,0.2,0.21,0.14,0.12,0.09,0.24,0.19,0.36
HDy,92,0.97,0.96,0.83,0.89,0.66,0.23,0.22,0.19,0.21,0.15,0.12,0.09,0.24,0.19,0.36
ACC_syn,92,0.93,0.89,0.77,0.82,0.65,0.23,0.22,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
PACC_syn,92,0.89,0.87,0.77,0.8,0.65,0.22,0.22,0.19,0.2,0.16,0.12,0.09,0.24,0.19,0.36
