qnt,batch_index,cdraw_p,ceight_p,celeven_p,cfifteen_p,cfive_p,cfour_p,cfourteen_p,cnine_p,cone_p,cseven_p,csix_p,csixteen_p,cten_p,cthirteen_p,cthree_p,ctwelve_p,ctwo_p,czero_p,cdraw_p_normalized,ceight_p_normalized,celeven_p_normalized,cfifteen_p_normalized,cfive_p_normalized,cfour_p_normalized,cfourteen_p_normalized,cnine_p_normalized,cone_p_normalized,cseven_p_normalized,csix_p_normalized,csixteen_p_normalized,cten_p_normalized,cthirteen_p_normalized,cthree_p_normalized,ctwelve_p_normalized,ctwo_p_normalized,czero_p_normalized,cdraw_real,ceight_real,celeven_real,cfifteen_real,cfive_real,cfour_real,cfourteen_real,cnine_real,cone_real,cseven_real,csix_real,csixteen_real,cten_real,cthirteen_real,cthree_real,ctwelve_real,ctwo_real,czero_real
MS2_syn,158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
SMM_syn,158,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.98,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
HDy_syn,158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
DyS_cdt,158,1.0,1.0,1.0,1.0,0.85,0.9,1.0,1.0,0.74,0.37,1.0,1.0,1.0,1.0,0.65,1.0,0.73,0.86,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.02,0.06,0.06,0.06,0.06,0.04,0.06,0.05,0.05,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
ACC_cdt,158,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
PACC_cdt,158,0.91,0.91,0.91,0.96,0.78,0.89,0.9,0.92,0.7,0.42,0.95,1.0,0.91,0.89,0.71,1.0,0.73,0.62,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.03,0.06,0.07,0.06,0.06,0.05,0.07,0.05,0.04,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
X_cdt,158,0.0,0.13,0.0,0.37,0.0,0.0,0.07,0.01,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.39,0.0,0.0,0.07,0.01,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MAX_cdt,158,0.0,0.13,0.0,0.37,0.0,0.0,0.07,0.01,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.39,0.0,0.0,0.07,0.01,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
T50_cdt,158,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MS_cdt,158,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MS2_cdt,158,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
SMM_cdt,158,1.0,1.0,1.0,1.0,0.78,0.89,0.99,1.0,0.7,0.42,1.0,1.0,1.0,0.98,0.71,1.0,0.73,0.62,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.04,0.03,0.06,0.06,0.06,0.06,0.04,0.06,0.05,0.04,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
HDy_cdt,158,1.0,1.0,1.0,1.0,0.88,0.94,1.0,1.0,0.75,0.38,1.0,1.0,1.0,1.0,0.74,1.0,0.83,0.86,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.02,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
CC2,158,0.02,0.15,0.02,0.03,0.05,0.02,0.16,0.02,0.0,0.02,0.04,0.0,0.11,0.13,0.0,0.07,0.16,0.0,0.02,0.15,0.02,0.03,0.05,0.02,0.16,0.02,0.0,0.02,0.04,0.0,0.11,0.13,0.0,0.07,0.16,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
PWK,158,0.04,0.05,0.06,0.07,0.06,0.02,0.03,0.06,0.03,0.03,0.04,0.02,0.09,0.09,0.1,0.01,0.06,0.14,0.04,0.05,0.06,0.07,0.06,0.02,0.03,0.06,0.03,0.03,0.04,0.02,0.09,0.09,0.1,0.01,0.06,0.14,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
HDx,158,0.25,0.49,0.55,0.0,0.33,0.35,0.0,0.76,0.29,0.49,0.35,0.05,0.89,0.58,0.27,0.68,0.31,0.14,0.25,0.49,0.55,0.0,0.33,0.35,0.0,0.76,0.29,0.49,0.35,0.05,0.89,0.58,0.27,0.68,0.31,0.14,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
GAC,158,0.02,0.15,0.02,0.03,0.05,0.02,0.16,0.02,0.0,0.02,0.04,0.0,0.11,0.13,0.0,0.07,0.16,0.0,0.02,0.15,0.02,0.03,0.05,0.02,0.16,0.02,0.0,0.02,0.04,0.0,0.11,0.13,0.0,0.07,0.16,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
GPAC,158,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21,1.0,0.0,1.0,0.66,1.0,1.0,0.88,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21,1.0,0.0,1.0,0.66,1.0,1.0,0.88,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
FM,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
EMQ,158,0.18,0.16,0.02,0.01,0.0,0.02,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.02,0.0,0.17,0.12,0.25,0.18,0.16,0.02,0.01,0.0,0.02,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.02,0.0,0.17,0.12,0.25,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
KDEyHD,158,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.56,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.56,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
KDEyCS,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
KDEyML,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
CC,159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
PCC,159,0.91,0.91,0.9,0.95,0.95,0.98,0.9,0.93,0.98,0.95,0.96,0.99,0.91,0.89,0.98,0.89,0.93,0.99,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
ACC,159,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
PACC,159,1.0,0.65,1.0,1.0,0.8,0.89,1.0,0.79,0.72,0.25,0.81,1.0,0.0,1.0,0.74,1.0,0.71,0.73,0.07,0.05,0.07,0.07,0.06,0.06,0.07,0.06,0.05,0.02,0.06,0.07,0.0,0.07,0.05,0.07,0.05,0.05,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
T50,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MAX,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MS,159,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MS2,159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
X,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
SMM,159,1.0,0.65,1.0,1.0,0.8,0.89,1.0,0.79,0.72,0.25,0.81,1.0,0.0,1.0,0.74,1.0,0.71,0.73,0.07,0.05,0.07,0.07,0.06,0.06,0.07,0.06,0.05,0.02,0.06,0.07,0.0,0.07,0.05,0.07,0.05,0.05,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
DyS,159,1.0,0.58,0.95,1.0,0.81,0.92,1.0,0.97,0.72,0.16,0.85,1.0,0.0,1.0,0.74,1.0,0.72,0.86,0.07,0.04,0.07,0.07,0.06,0.06,0.07,0.07,0.05,0.01,0.06,0.07,0.0,0.07,0.05,0.07,0.05,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
DySyn,159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
HDy,159,1.0,0.64,0.95,1.0,0.79,0.93,1.0,0.96,0.79,0.33,0.82,1.0,0.12,1.0,0.76,1.0,0.81,0.89,0.07,0.04,0.06,0.07,0.05,0.06,0.07,0.06,0.05,0.02,0.06,0.07,0.01,0.07,0.05,0.07,0.05,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
ACC_syn,159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
PACC_syn,159,0.91,0.91,0.9,0.95,0.95,0.98,0.9,0.93,0.98,0.95,0.96,0.99,0.91,0.89,0.98,0.89,0.93,0.99,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
X_syn,159,0.0,0.17,0.0,0.46,0.5,0.65,0.06,0.01,0.7,0.22,0.44,0.9,0.0,0.0,0.65,0.0,0.6,0.86,0.0,0.03,0.0,0.07,0.08,0.1,0.01,0.0,0.11,0.04,0.07,0.14,0.0,0.0,0.1,0.0,0.1,0.14,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MAX_syn,159,0.0,0.17,0.0,0.46,0.5,0.65,0.06,0.01,0.7,0.22,0.44,0.9,0.0,0.0,0.65,0.0,0.6,0.86,0.0,0.03,0.0,0.07,0.08,0.1,0.01,0.0,0.11,0.04,0.07,0.14,0.0,0.0,0.1,0.0,0.1,0.14,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
T50_syn,159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MS_syn,159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MS2_syn,159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
SMM_syn,159,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,0.97,1.0,0.98,1.0,1.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
HDy_syn,159,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
DyS_cdt,159,1.0,1.0,1.0,1.0,0.81,0.92,1.0,1.0,0.72,0.16,1.0,1.0,1.0,1.0,0.74,1.0,0.72,0.86,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.01,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
ACC_cdt,159,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
PACC_cdt,159,0.91,0.91,0.9,0.95,0.8,0.89,0.9,0.93,0.72,0.25,0.96,1.0,0.91,0.89,0.74,1.0,0.71,0.73,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.02,0.06,0.07,0.06,0.06,0.05,0.07,0.05,0.05,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
X_cdt,159,0.0,0.17,0.0,0.46,0.0,0.0,0.06,0.01,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.4,0.0,0.0,0.05,0.01,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MAX_cdt,159,0.0,0.17,0.0,0.46,0.0,0.0,0.06,0.01,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.4,0.0,0.0,0.05,0.01,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
T50_cdt,159,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MS_cdt,159,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
MS2_cdt,159,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
SMM_cdt,159,1.0,1.0,0.99,1.0,0.8,0.89,0.99,1.0,0.72,0.25,1.0,1.0,0.99,0.97,0.74,1.0,0.71,0.73,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.02,0.06,0.06,0.06,0.06,0.05,0.06,0.04,0.05,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
HDy_cdt,159,1.0,1.0,1.0,1.0,0.79,0.93,1.0,1.0,0.79,0.33,1.0,1.0,1.0,1.0,0.76,1.0,0.81,0.89,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.02,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
CC2,159,0.02,0.15,0.02,0.05,0.06,0.01,0.14,0.06,0.0,0.0,0.03,0.0,0.05,0.09,0.0,0.1,0.22,0.0,0.02,0.15,0.02,0.05,0.06,0.01,0.14,0.06,0.0,0.0,0.03,0.0,0.05,0.09,0.0,0.1,0.22,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
PWK,159,0.05,0.03,0.02,0.02,0.04,0.05,0.01,0.04,0.06,0.04,0.08,0.06,0.14,0.1,0.02,0.0,0.1,0.14,0.05,0.03,0.02,0.02,0.04,0.05,0.01,0.04,0.06,0.04,0.08,0.06,0.14,0.1,0.02,0.0,0.1,0.14,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
HDx,159,0.01,0.6,0.66,0.05,0.46,0.42,0.06,0.89,0.27,0.7,0.56,0.09,1.0,0.13,0.36,0.2,0.35,0.14,0.01,0.6,0.66,0.05,0.46,0.42,0.06,0.89,0.27,0.7,0.56,0.09,1.0,0.13,0.36,0.2,0.35,0.14,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
GAC,159,0.02,0.15,0.02,0.05,0.06,0.01,0.14,0.06,0.0,0.0,0.03,0.0,0.05,0.09,0.0,0.1,0.22,0.0,0.02,0.15,0.02,0.05,0.06,0.01,0.14,0.06,0.0,0.0,0.03,0.0,0.05,0.09,0.0,0.1,0.22,0.0,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
GPAC,159,1.0,1.0,1.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.58,1.0,1.0,0.03,1.0,1.0,1.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.58,1.0,1.0,0.03,0.02,0.03,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.11,0.02,0.28,0.15,0.07,0.0,0.09,0.15
