qnt,batch_index,c1_p,c2_p,c3_p,c4_p,c5_p,c6_p,c7_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c4_p_normalized,c5_p_normalized,c6_p_normalized,c7_p_normalized,c1_real,c2_real,c3_real,c4_real,c5_real,c6_real,c7_real
MS2_syn,468,0.87,0.9,1.0,0.74,0.95,1.0,0.96,0.14,0.14,0.16,0.12,0.15,0.16,0.15,0.04,0.13,0.13,0.18,0.34,0.02,0.16
SMM_syn,468,0.87,1.0,1.0,0.86,1.0,0.97,1.0,0.13,0.15,0.15,0.13,0.15,0.14,0.15,0.04,0.13,0.13,0.18,0.34,0.02,0.16
HDy_syn,468,0.95,1.0,0.99,0.73,1.0,1.0,0.98,0.14,0.15,0.15,0.11,0.15,0.15,0.15,0.04,0.13,0.13,0.18,0.34,0.02,0.16
DyS_cdt,468,0.94,0.65,0.84,0.79,0.53,0.54,0.93,0.18,0.12,0.16,0.15,0.1,0.1,0.18,0.04,0.13,0.13,0.18,0.34,0.02,0.16
ACC_cdt,468,0.0,0.0,1.0,0.16,0.0,1.0,0.0,0.0,0.0,0.46,0.07,0.0,0.46,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
PACC_cdt,468,0.94,0.66,0.66,0.79,0.54,0.55,0.89,0.19,0.13,0.13,0.16,0.11,0.11,0.18,0.04,0.13,0.13,0.18,0.34,0.02,0.16
X_cdt,468,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MAX_cdt,468,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
T50_cdt,468,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MS_cdt,468,0.0,0.0,1.0,0.07,0.0,1.0,0.0,0.0,0.0,0.48,0.04,0.0,0.48,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MS2_cdt,468,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
SMM_cdt,468,0.94,0.66,0.66,0.79,0.54,0.55,0.89,0.19,0.13,0.13,0.16,0.11,0.11,0.18,0.04,0.13,0.13,0.18,0.34,0.02,0.16
HDy_cdt,468,0.97,0.69,0.93,0.82,0.54,0.53,0.97,0.18,0.13,0.17,0.15,0.1,0.1,0.18,0.04,0.13,0.13,0.18,0.34,0.02,0.16
CC2,468,0.18,0.18,0.0,0.25,0.33,0.02,0.04,0.18,0.18,0.0,0.25,0.33,0.02,0.04,0.04,0.13,0.13,0.18,0.34,0.02,0.16
PWK,468,0.05,0.17,0.08,0.2,0.25,0.14,0.11,0.05,0.17,0.08,0.2,0.25,0.14,0.11,0.04,0.13,0.13,0.18,0.34,0.02,0.16
HDx,468,0.1,0.8,0.15,0.59,0.81,0.8,0.37,0.1,0.8,0.15,0.59,0.81,0.8,0.37,0.04,0.13,0.13,0.18,0.34,0.02,0.16
GAC,468,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
GPAC,468,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
FM,468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
EMQ,468,0.04,0.03,0.21,0.21,0.3,0.11,0.1,0.04,0.03,0.21,0.21,0.3,0.11,0.1,0.04,0.13,0.13,0.18,0.34,0.02,0.16
KDEyHD,468,0.0,0.41,0.12,0.0,0.0,0.0,0.47,0.0,0.41,0.12,0.0,0.0,0.0,0.47,0.04,0.13,0.13,0.18,0.34,0.02,0.16
KDEyCS,468,0.0,0.0,0.24,0.0,0.0,0.0,0.76,0.0,0.0,0.24,0.0,0.0,0.0,0.76,0.04,0.13,0.13,0.18,0.34,0.02,0.16
KDEyML,468,0.88,0.0,0.0,0.0,0.0,0.0,0.12,0.88,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.13,0.13,0.18,0.34,0.02,0.16
CC,469,0.9,0.98,1.0,0.76,1.0,1.0,0.97,0.14,0.15,0.15,0.11,0.15,0.15,0.15,0.04,0.13,0.13,0.18,0.34,0.02,0.16
PCC,469,0.81,0.79,0.99,0.8,0.78,0.87,0.96,0.14,0.13,0.16,0.13,0.13,0.15,0.16,0.04,0.13,0.13,0.18,0.34,0.02,0.16
ACC,469,0.0,0.0,1.0,0.13,0.0,1.0,0.0,0.0,0.0,0.47,0.06,0.0,0.47,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
PACC,469,0.97,0.63,0.6,0.8,0.47,0.34,0.9,0.21,0.13,0.13,0.17,0.1,0.07,0.19,0.04,0.13,0.13,0.18,0.34,0.02,0.16
T50,469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MAX,469,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MS,469,0.0,0.0,1.0,0.07,0.0,1.0,0.0,0.0,0.0,0.48,0.03,0.0,0.48,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MS2,469,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
X,469,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
SMM,469,0.97,0.63,0.6,0.8,0.47,0.34,0.9,0.21,0.13,0.13,0.17,0.1,0.07,0.19,0.04,0.13,0.13,0.18,0.34,0.02,0.16
DyS,469,0.95,0.59,0.85,0.81,0.48,0.36,0.93,0.19,0.12,0.17,0.16,0.1,0.07,0.19,0.04,0.13,0.13,0.18,0.34,0.02,0.16
DySyn,469,0.93,1.0,1.0,0.8,1.0,1.0,1.0,0.14,0.15,0.15,0.12,0.15,0.15,0.15,0.04,0.13,0.13,0.18,0.34,0.02,0.16
HDy,469,0.98,0.65,0.94,0.85,0.47,0.36,0.96,0.19,0.13,0.18,0.16,0.09,0.07,0.18,0.04,0.13,0.13,0.18,0.34,0.02,0.16
ACC_syn,469,0.9,0.98,1.0,0.76,1.0,1.0,0.97,0.14,0.15,0.15,0.11,0.15,0.15,0.15,0.04,0.13,0.13,0.18,0.34,0.02,0.16
PACC_syn,469,0.81,0.77,0.99,0.8,0.76,0.87,0.96,0.14,0.13,0.17,0.13,0.13,0.15,0.16,0.04,0.13,0.13,0.18,0.34,0.02,0.16
X_syn,469,0.0,0.29,0.74,0.66,0.05,0.07,0.82,0.0,0.11,0.28,0.25,0.02,0.03,0.31,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MAX_syn,469,0.0,0.29,0.74,0.66,0.05,0.07,0.82,0.0,0.11,0.28,0.25,0.02,0.03,0.31,0.04,0.13,0.13,0.18,0.34,0.02,0.16
T50_syn,469,0.96,1.0,1.0,0.98,1.0,1.0,1.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MS_syn,469,0.89,0.98,1.0,0.76,1.0,1.0,0.97,0.13,0.15,0.15,0.12,0.15,0.15,0.15,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MS2_syn,469,0.89,0.95,1.0,0.76,0.96,1.0,0.96,0.14,0.15,0.15,0.12,0.15,0.15,0.15,0.04,0.13,0.13,0.18,0.34,0.02,0.16
SMM_syn,469,0.89,1.0,1.0,0.87,1.0,0.96,1.0,0.13,0.15,0.15,0.13,0.15,0.14,0.15,0.04,0.13,0.13,0.18,0.34,0.02,0.16
HDy_syn,469,0.95,1.0,0.99,0.77,1.0,1.0,0.99,0.14,0.15,0.15,0.11,0.15,0.15,0.15,0.04,0.13,0.13,0.18,0.34,0.02,0.16
DyS_cdt,469,0.95,0.59,0.85,0.81,1.0,0.36,0.93,0.17,0.11,0.15,0.15,0.18,0.07,0.17,0.04,0.13,0.13,0.18,0.34,0.02,0.16
ACC_cdt,469,0.0,0.0,1.0,0.13,1.0,1.0,0.0,0.0,0.0,0.32,0.04,0.32,0.32,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
PACC_cdt,469,0.97,0.63,0.6,0.8,0.76,0.34,0.9,0.19,0.13,0.12,0.16,0.15,0.07,0.18,0.04,0.13,0.13,0.18,0.34,0.02,0.16
X_cdt,469,0.0,0.0,0.0,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.76,0.24,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MAX_cdt,469,0.0,0.0,0.0,0.11,0.05,0.0,0.0,0.0,0.0,0.0,0.68,0.32,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
T50_cdt,469,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MS_cdt,469,0.0,0.0,1.0,0.07,1.0,1.0,0.0,0.0,0.0,0.33,0.02,0.33,0.33,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
MS2_cdt,469,0.0,0.0,0.0,0.1,0.96,0.0,0.0,0.0,0.0,0.0,0.09,0.91,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
SMM_cdt,469,0.97,0.63,0.6,0.8,1.0,0.34,0.9,0.19,0.12,0.11,0.15,0.19,0.06,0.17,0.04,0.13,0.13,0.18,0.34,0.02,0.16
HDy_cdt,469,0.98,0.65,0.94,0.85,1.0,0.36,0.96,0.17,0.11,0.16,0.15,0.17,0.06,0.17,0.04,0.13,0.13,0.18,0.34,0.02,0.16
CC2,469,0.11,0.2,0.0,0.23,0.39,0.03,0.04,0.11,0.2,0.0,0.23,0.39,0.03,0.04,0.04,0.13,0.13,0.18,0.34,0.02,0.16
PWK,469,0.04,0.19,0.07,0.25,0.27,0.11,0.07,0.04,0.19,0.07,0.25,0.27,0.11,0.07,0.04,0.13,0.13,0.18,0.34,0.02,0.16
HDx,469,0.04,0.91,0.16,0.72,0.92,0.9,0.4,0.04,0.91,0.16,0.72,0.92,0.9,0.4,0.04,0.13,0.13,0.18,0.34,0.02,0.16
GAC,469,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
GPAC,469,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
FM,469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.13,0.13,0.18,0.34,0.02,0.16
EMQ,469,0.04,0.1,0.23,0.14,0.03,0.38,0.08,0.04,0.1,0.23,0.14,0.03,0.38,0.08,0.04,0.13,0.13,0.18,0.34,0.02,0.16
KDEyHD,469,0.0,0.29,0.1,0.0,0.01,0.0,0.6,0.0,0.29,0.1,0.0,0.01,0.0,0.6,0.04,0.13,0.13,0.18,0.34,0.02,0.16
KDEyCS,469,0.0,0.0,0.06,0.0,0.0,0.0,0.94,0.0,0.0,0.06,0.0,0.0,0.0,0.94,0.04,0.13,0.13,0.18,0.34,0.02,0.16
KDEyML,469,0.17,0.2,0.06,0.0,0.21,0.0,0.37,0.17,0.2,0.06,0.0,0.21,0.0,0.37,0.04,0.13,0.13,0.18,0.34,0.02,0.16
CC,470,0.83,0.98,1.0,0.63,1.0,1.0,0.86,0.13,0.16,0.16,0.1,0.16,0.16,0.14,0.04,0.18,0.01,0.12,0.04,0.15,0.46
PCC,470,0.72,0.89,0.99,0.71,0.88,0.91,0.84,0.12,0.15,0.17,0.12,0.15,0.15,0.14,0.04,0.18,0.01,0.12,0.04,0.15,0.46
ACC,470,0.0,0.0,1.0,0.29,0.0,1.0,0.0,0.0,0.0,0.44,0.13,0.0,0.44,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
PACC,470,0.82,1.0,0.85,0.67,0.95,0.85,0.56,0.14,0.18,0.15,0.12,0.17,0.15,0.1,0.04,0.18,0.01,0.12,0.04,0.15,0.46
T50,470,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MAX,470,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.48,0.0,0.0,0.52,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS,470,0.03,0.0,1.0,0.11,0.0,1.0,0.0,0.01,0.0,0.47,0.05,0.0,0.47,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS2,470,0.03,0.0,0.0,0.18,0.0,0.0,0.0,0.14,0.0,0.0,0.86,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
X,470,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
SMM,470,0.82,1.0,0.85,0.67,0.95,0.85,0.56,0.14,0.18,0.15,0.12,0.17,0.15,0.1,0.04,0.18,0.01,0.12,0.04,0.15,0.46
DyS,470,0.88,0.97,0.86,0.67,0.91,0.88,0.66,0.15,0.17,0.15,0.12,0.16,0.15,0.11,0.04,0.18,0.01,0.12,0.04,0.15,0.46
DySyn,470,0.87,1.0,1.0,0.76,1.0,1.0,0.98,0.13,0.15,0.15,0.11,0.15,0.15,0.15,0.04,0.18,0.01,0.12,0.04,0.15,0.46
HDy,470,0.95,1.0,0.95,0.76,0.93,0.9,0.79,0.15,0.16,0.15,0.12,0.15,0.14,0.13,0.04,0.18,0.01,0.12,0.04,0.15,0.46
ACC_syn,470,0.81,0.98,1.0,0.63,1.0,1.0,0.85,0.13,0.16,0.16,0.1,0.16,0.16,0.14,0.04,0.18,0.01,0.12,0.04,0.15,0.46
PACC_syn,470,0.69,0.89,0.99,0.71,0.88,0.91,0.82,0.12,0.15,0.17,0.12,0.15,0.15,0.14,0.04,0.18,0.01,0.12,0.04,0.15,0.46
X_syn,470,0.0,0.5,0.88,0.48,0.14,0.15,0.57,0.0,0.18,0.32,0.18,0.05,0.06,0.21,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MAX_syn,470,0.0,0.5,0.88,0.48,0.14,0.15,0.57,0.0,0.18,0.32,0.18,0.05,0.06,0.21,0.04,0.18,0.01,0.12,0.04,0.15,0.46
T50_syn,470,0.78,1.0,1.0,0.84,1.0,1.0,1.0,0.12,0.15,0.15,0.13,0.15,0.15,0.15,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS_syn,470,0.78,0.98,1.0,0.59,1.0,1.0,0.86,0.13,0.16,0.16,0.09,0.16,0.16,0.14,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS2_syn,470,0.78,0.98,1.0,0.59,1.0,1.0,0.83,0.13,0.16,0.16,0.1,0.16,0.16,0.13,0.04,0.18,0.01,0.12,0.04,0.15,0.46
SMM_syn,470,0.93,0.98,1.0,0.93,0.96,1.0,1.0,0.14,0.14,0.15,0.14,0.14,0.15,0.15,0.04,0.18,0.01,0.12,0.04,0.15,0.46
HDy_syn,470,0.95,0.99,0.99,0.55,1.0,1.0,0.98,0.15,0.15,0.15,0.09,0.15,0.15,0.15,0.04,0.18,0.01,0.12,0.04,0.15,0.46
DyS_cdt,470,0.88,0.97,0.86,0.67,1.0,0.88,0.66,0.15,0.16,0.15,0.11,0.17,0.15,0.11,0.04,0.18,0.01,0.12,0.04,0.15,0.46
ACC_cdt,470,0.0,0.0,1.0,0.29,1.0,1.0,0.0,0.0,0.0,0.3,0.09,0.3,0.3,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
PACC_cdt,470,0.82,1.0,0.85,0.67,0.88,0.85,0.56,0.15,0.18,0.15,0.12,0.16,0.15,0.1,0.04,0.18,0.01,0.12,0.04,0.15,0.46
X_cdt,470,0.0,0.0,0.0,0.23,0.14,0.0,0.0,0.0,0.0,0.0,0.62,0.38,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MAX_cdt,470,0.04,0.0,0.0,0.04,0.14,0.0,0.0,0.16,0.0,0.0,0.18,0.65,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
T50_cdt,470,0.45,0.0,0.0,0.0,1.0,0.0,0.0,0.31,0.0,0.0,0.0,0.69,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS_cdt,470,0.03,0.0,1.0,0.11,1.0,1.0,0.0,0.01,0.0,0.32,0.04,0.32,0.32,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS2_cdt,470,0.03,0.0,0.0,0.18,1.0,0.0,0.0,0.02,0.0,0.0,0.15,0.83,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
SMM_cdt,470,0.82,1.0,0.85,0.67,0.96,0.85,0.56,0.14,0.18,0.15,0.12,0.17,0.15,0.1,0.04,0.18,0.01,0.12,0.04,0.15,0.46
HDy_cdt,470,0.95,1.0,0.95,0.76,1.0,0.9,0.79,0.15,0.16,0.15,0.12,0.16,0.14,0.12,0.04,0.18,0.01,0.12,0.04,0.15,0.46
CC2,470,0.19,0.1,0.0,0.33,0.14,0.09,0.15,0.19,0.1,0.0,0.33,0.14,0.09,0.15,0.04,0.18,0.01,0.12,0.04,0.15,0.46
PWK,470,0.04,0.13,0.02,0.19,0.16,0.09,0.37,0.04,0.13,0.02,0.19,0.16,0.09,0.37,0.04,0.18,0.01,0.12,0.04,0.15,0.46
HDx,470,0.22,0.51,0.15,0.59,0.59,0.74,0.46,0.22,0.51,0.15,0.59,0.59,0.74,0.46,0.04,0.18,0.01,0.12,0.04,0.15,0.46
GAC,470,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
GPAC,470,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
FM,470,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
EMQ,470,0.05,0.02,0.0,0.05,0.0,0.44,0.44,0.05,0.02,0.0,0.05,0.0,0.44,0.44,0.04,0.18,0.01,0.12,0.04,0.15,0.46
KDEyHD,470,0.0,0.63,0.0,0.0,0.0,0.0,0.37,0.0,0.63,0.0,0.0,0.0,0.0,0.37,0.04,0.18,0.01,0.12,0.04,0.15,0.46
KDEyCS,470,0.0,0.0,0.38,0.0,0.0,0.0,0.62,0.0,0.0,0.38,0.0,0.0,0.0,0.62,0.04,0.18,0.01,0.12,0.04,0.15,0.46
KDEyML,470,0.17,0.83,0.0,0.0,0.0,0.0,0.0,0.17,0.83,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
CC,471,0.86,0.97,1.0,0.65,1.0,1.0,0.81,0.14,0.15,0.16,0.1,0.16,0.16,0.13,0.04,0.18,0.01,0.12,0.04,0.15,0.46
PCC,471,0.74,0.89,0.99,0.72,0.88,0.91,0.84,0.12,0.15,0.17,0.12,0.15,0.15,0.14,0.04,0.18,0.01,0.12,0.04,0.15,0.46
ACC,471,0.0,0.0,1.0,0.27,0.0,1.0,0.0,0.0,0.0,0.44,0.12,0.0,0.44,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
PACC,471,0.85,0.99,0.76,0.68,0.97,0.89,0.56,0.15,0.17,0.13,0.12,0.17,0.16,0.1,0.04,0.18,0.01,0.12,0.04,0.15,0.46
T50,471,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MAX,471,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS,471,0.0,0.0,1.0,0.14,0.0,1.0,0.0,0.0,0.0,0.47,0.07,0.0,0.47,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS2,471,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
X,471,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
SMM,471,0.85,0.99,0.76,0.68,0.97,0.89,0.56,0.15,0.17,0.13,0.12,0.17,0.16,0.1,0.04,0.18,0.01,0.12,0.04,0.15,0.46
DyS,471,0.94,0.95,0.85,0.67,0.96,0.99,0.71,0.15,0.16,0.14,0.11,0.16,0.16,0.12,0.04,0.18,0.01,0.12,0.04,0.15,0.46
DySyn,471,0.93,1.0,1.0,0.88,1.0,1.0,0.94,0.14,0.15,0.15,0.13,0.15,0.15,0.14,0.04,0.18,0.01,0.12,0.04,0.15,0.46
HDy,471,0.97,0.98,0.9,0.76,1.0,0.97,0.81,0.15,0.15,0.14,0.12,0.16,0.15,0.13,0.04,0.18,0.01,0.12,0.04,0.15,0.46
ACC_syn,471,0.84,0.97,1.0,0.59,1.0,1.0,0.81,0.13,0.16,0.16,0.1,0.16,0.16,0.13,0.04,0.18,0.01,0.12,0.04,0.15,0.46
PACC_syn,471,0.72,0.89,0.99,0.72,0.88,0.91,0.84,0.12,0.15,0.17,0.12,0.15,0.15,0.14,0.04,0.18,0.01,0.12,0.04,0.15,0.46
X_syn,471,0.0,0.46,0.87,0.43,0.09,0.12,0.61,0.0,0.18,0.34,0.17,0.03,0.05,0.24,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MAX_syn,471,0.0,0.46,0.87,0.43,0.09,0.12,0.61,0.0,0.18,0.34,0.17,0.03,0.05,0.24,0.04,0.18,0.01,0.12,0.04,0.15,0.46
T50_syn,471,0.9,1.0,1.0,0.49,1.0,1.0,1.0,0.14,0.16,0.16,0.08,0.16,0.16,0.16,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS_syn,471,0.84,0.97,1.0,0.62,1.0,1.0,0.81,0.13,0.16,0.16,0.1,0.16,0.16,0.13,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS2_syn,471,0.84,0.96,1.0,0.65,1.0,1.0,0.8,0.13,0.15,0.16,0.1,0.16,0.16,0.13,0.04,0.18,0.01,0.12,0.04,0.15,0.46
SMM_syn,471,0.94,0.97,1.0,1.0,0.97,1.0,0.91,0.14,0.14,0.15,0.15,0.14,0.15,0.13,0.04,0.18,0.01,0.12,0.04,0.15,0.46
HDy_syn,471,0.97,0.99,0.99,0.62,1.0,1.0,0.94,0.15,0.15,0.15,0.1,0.15,0.15,0.14,0.04,0.18,0.01,0.12,0.04,0.15,0.46
DyS_cdt,471,0.94,0.95,0.85,0.67,1.0,0.99,0.71,0.15,0.16,0.14,0.11,0.16,0.16,0.12,0.04,0.18,0.01,0.12,0.04,0.15,0.46
ACC_cdt,471,0.0,0.0,1.0,0.27,1.0,1.0,0.0,0.0,0.0,0.31,0.08,0.31,0.31,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
PACC_cdt,471,0.85,0.99,0.76,0.68,0.88,0.89,0.56,0.15,0.18,0.14,0.12,0.16,0.16,0.1,0.04,0.18,0.01,0.12,0.04,0.15,0.46
X_cdt,471,0.0,0.0,0.0,0.23,0.09,0.0,0.0,0.0,0.0,0.0,0.72,0.28,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MAX_cdt,471,0.0,0.0,0.0,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.23,0.77,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
T50_cdt,471,0.47,0.0,0.0,0.0,1.0,0.0,0.0,0.32,0.0,0.0,0.0,0.68,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS_cdt,471,0.0,0.0,1.0,0.14,1.0,1.0,0.0,0.0,0.0,0.32,0.05,0.32,0.32,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
MS2_cdt,471,0.0,0.0,0.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,0.16,0.84,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
SMM_cdt,471,0.85,0.99,0.76,0.68,0.97,0.89,0.56,0.15,0.17,0.13,0.12,0.17,0.16,0.1,0.04,0.18,0.01,0.12,0.04,0.15,0.46
HDy_cdt,471,0.97,0.98,0.9,0.76,1.0,0.97,0.81,0.15,0.15,0.14,0.12,0.16,0.15,0.13,0.04,0.18,0.01,0.12,0.04,0.15,0.46
CC2,471,0.22,0.12,0.0,0.29,0.15,0.04,0.18,0.22,0.12,0.0,0.29,0.15,0.04,0.18,0.04,0.18,0.01,0.12,0.04,0.15,0.46
PWK,471,0.03,0.15,0.04,0.24,0.15,0.05,0.34,0.03,0.15,0.04,0.24,0.15,0.05,0.34,0.04,0.18,0.01,0.12,0.04,0.15,0.46
HDx,471,0.18,0.59,0.15,0.6,0.65,0.75,0.43,0.18,0.59,0.15,0.6,0.65,0.75,0.43,0.04,0.18,0.01,0.12,0.04,0.15,0.46
GAC,471,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
GPAC,471,0.0,1.0,0.53,0.0,0.0,1.0,1.0,0.0,1.0,0.53,0.0,0.0,1.0,1.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
FM,471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
EMQ,471,0.02,0.06,0.02,0.12,0.0,0.38,0.4,0.02,0.06,0.02,0.12,0.0,0.38,0.4,0.04,0.18,0.01,0.12,0.04,0.15,0.46
KDEyHD,471,0.0,0.87,0.0,0.0,0.0,0.0,0.13,0.0,0.87,0.0,0.0,0.0,0.0,0.13,0.04,0.18,0.01,0.12,0.04,0.15,0.46
KDEyCS,471,0.0,0.0,0.49,0.0,0.0,0.0,0.51,0.0,0.0,0.49,0.0,0.0,0.0,0.51,0.04,0.18,0.01,0.12,0.04,0.15,0.46
KDEyML,471,0.15,0.85,0.0,0.0,0.0,0.0,0.0,0.15,0.85,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.01,0.12,0.04,0.15,0.46
CC,472,0.84,0.99,1.0,0.6,0.97,1.0,0.8,0.14,0.16,0.16,0.1,0.16,0.16,0.13,0.04,0.18,0.01,0.12,0.04,0.15,0.46
PCC,472,0.74,0.89,0.99,0.68,0.87,0.91,0.82,0.13,0.15,0.17,0.12,0.15,0.15,0.14,0.04,0.18,0.01,0.12,0.04,0.15,0.46
