MFtr,MFte,R_1,P_1,MAE,Distance,Value.dist,Qnt
0.05,0.6500000000000001,0.0,0.166,0.17,topsoe,0.8336774827925271,MS2Syn-TS
0.05,0.6500000000000001,0.0,0.13,0.13,topsoe,0.87,SMMSyn-TS
0.05,0.6500000000000001,0.0,[0.08 0.92],[0.08 0.92],topsoe,1.6435236869575252e-07,DySyn-TS
0.05,0.7500000000000002,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.7500000000000002,0.0,0.193,0.19,topsoe,0.8074866310160427,XSyn-TS
0.05,0.7500000000000002,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.05,0.7500000000000002,0.0,0.741,0.74,topsoe,0.25943396226415094,T50Syn-TS
0.05,0.7500000000000002,0.0,0.152,0.15,topsoe,0.8477157360406091,MS2Syn-TS
0.05,0.7500000000000002,0.0,0.02,0.02,topsoe,0.98,SMMSyn-TS
0.05,0.7500000000000002,0.0,[0.23 0.77],[0.23 0.77],topsoe,3.4898060608768116e-11,DySyn-TS
0.05,0.8500000000000002,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.8500000000000002,0.0,0.247,0.25,topsoe,0.7532467532467529,XSyn-TS
0.05,0.8500000000000002,0.0,0.358,0.36,topsoe,0.6424418604651163,MAXSyn-TS
0.05,0.8500000000000002,0.0,0.709,0.71,topsoe,0.2905982905982907,T50Syn-TS
0.05,0.8500000000000002,0.0,0.558,0.56,topsoe,0.4418604651162792,MS2Syn-TS
0.05,0.8500000000000002,0.0,0.34,0.34,topsoe,0.66,SMMSyn-TS
0.05,0.8500000000000002,0.0,[0.35 0.65],[0.35 0.65],topsoe,4.862410901063021e-08,DySyn-TS
0.05,0.9500000000000002,0.0,0.438,0.44,topsoe,0.5621621621621622,ACCSyn-TS
0.05,0.9500000000000002,0.0,0.421,0.42,topsoe,0.5794392523364487,XSyn-TS
0.05,0.9500000000000002,0.0,0.33,0.33,topsoe,0.6704545454545455,MAXSyn-TS
0.05,0.9500000000000002,0.0,0.933,0.93,topsoe,0.06666666666666676,T50Syn-TS
0.05,0.9500000000000002,0.0,0.484,0.48,topsoe,0.5164319248826291,MS2Syn-TS
0.05,0.9500000000000002,0.0,0.33,0.33,topsoe,0.67,SMMSyn-TS
0.05,0.9500000000000002,0.0,[0.5 0.5],[0.5 0.5],topsoe,2.2706277028978285e-10,DySyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,T50Syn-TS
0.05,0.05,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.05,0.05,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.05,0.05,0.0,[0. 1.],[0. 1.],topsoe,0.021732371443813278,DySyn-TS
0.05,0.15000000000000002,0.0,0.002,0.0,topsoe,0.9979591836734694,ACCSyn-TS
0.05,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.05,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.05,0.15000000000000002,0.0,0.031,0.03,topsoe,0.9691119691119691,T50Syn-TS
0.05,0.15000000000000002,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.05,0.15000000000000002,0.0,0.01,0.01,topsoe,0.99,SMMSyn-TS
0.05,0.15000000000000002,0.0,[0. 1.],[0. 1.],topsoe,0.006788127562656518,DySyn-TS
0.05,0.25000000000000006,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.25000000000000006,0.0,0.046,0.05,topsoe,0.9540481400437637,XSyn-TS
0.05,0.25000000000000006,0.0,0.005,0.0,topsoe,0.9953703703703703,MAXSyn-TS
0.05,0.25000000000000006,0.0,0.133,0.13,topsoe,0.8674698795180723,T50Syn-TS
0.05,0.25000000000000006,0.0,0.036,0.04,topsoe,0.9640591966173362,MS2Syn-TS
0.05,0.25000000000000006,0.0,0.01,0.01,topsoe,0.99,SMMSyn-TS
0.05,0.25000000000000006,0.0,[0. 1.],[0. 1.],topsoe,3.43340883778503e-06,DySyn-TS
0.05,0.35000000000000003,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.05,0.35000000000000003,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.05,0.35000000000000003,0.0,0.005,0.0,topsoe,0.9946380697050938,MAXSyn-TS
0.05,0.35000000000000003,0.0,0.271,0.27,topsoe,0.7294117647058823,T50Syn-TS
0.05,0.35000000000000003,0.0,0.008,0.01,topsoe,0.9917582417582418,MS2Syn-TS
0.05,0.35000000000000003,0.0,0.02,0.02,topsoe,0.98,SMMSyn-TS
0.05,0.35000000000000003,0.0,[0.05 0.95],[0.05 0.95],topsoe,6.648609096540506e-06,DySyn-TS
0.05,0.45000000000000007,0.0,0.042,0.04,topsoe,0.9576547231270358,ACCSyn-TS
0.05,0.45000000000000007,0.0,0.078,0.08,topsoe,0.9218241042345278,XSyn-TS
0.05,0.45000000000000007,0.0,0.08,0.08,topsoe,0.92,MAXSyn-TS
0.05,0.45000000000000007,0.0,0.41,0.41,topsoe,0.5901639344262295,T50Syn-TS
0.05,0.45000000000000007,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
